,rhex.csv,qgo.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,applet2app.csv,yield.csv,blue-c.csv,hydrogen.csv,virtuoso.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.71,0.56,0.59,0.39,0.46,0.64,0.94,0.45,0.92,0.97,0.6,0.57,0.55,0.46,0.48
autowikibrowser.csv,0.54,0.44,0.68,0.32,0.44,0.43,0.56,0.5,0.5,0.61,0.45,0.8,0.45,0.38,0.44
blue-c.csv,0.47,0.43,0.53,0.67,0.58,0.52,0.51,0.48,0.57,0.61,0.34,0.36,0.51,0.44,0.69
dynalloy.csv,0.94,0.47,0.71,0.94,0.79,0.65,0.49,0.69,0.52,0.59,0.48,0.73,0.89,0.83,0.93
hydrogen.csv,0.9,0.61,0.88,0.75,0.8,0.71,0.85,0.86,0.8,0.44,0.86,0.75,0.78,0.41,0.57
jcae.csv,0.0,0.5,0.9,0.88,0.0,0.99,0.5,0.0,0.5,0.0,0.75,0.67,0.88,0.67,0.5
lphant.csv,0.56,0.46,0.53,0.34,0.49,0.49,0.54,0.45,0.64,0.39,0.5,0.5,0.54,0.33,0.48
nosleepsoftware.csv,0.52,0.43,0.7,0.39,0.8,0.57,0.93,0.88,0.74,0.38,0.67,0.5,0.72,0.49,0.39
qgo.csv,0.52,0.43,0.69,0.42,0.86,0.51,0.81,0.75,0.5,0.39,0.53,0.5,0.39,0.38,0.44
quickfast.csv,0.52,0.45,0.41,0.34,0.5,0.43,0.58,0.53,0.6,0.36,0.39,0.45,0.4,0.4,0.39
rhex.csv,0.89,0.69,0.96,0.88,0.86,0.86,0.89,0.0,0.5,0.93,0.0,0.0,0.9,0.88,0.67
rocrail.csv,0.91,0.57,0.93,0.83,0.8,0.72,0.91,0.71,0.9,0.62,0.8,0.7,0.7,0.68,0.89
virtuoso.csv,0.88,0.51,0.45,0.36,0.68,0.49,0.58,0.56,0.62,0.78,0.76,0.41,0.52,0.51,0.72
xined.csv,0.88,0.4,0.62,0.61,0.0,0.58,0.92,0.5,0.71,0.95,0.9,0.9,0.92,0.74,0.88
yield.csv,0.47,0.34,0.47,0.33,0.42,0.44,0.52,0.44,0.57,0.48,0.39,0.38,0.35,0.43,0.38
