,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.27,0.22,0.69,0.43,0.4
n2cms.csv,0.24,0.38,0.78,0.67,0.72
nassp.csv,0.15,0.18,0.33,0.17,0.12
nug.csv,0.85,0.27,0.25,0.7,0.92
oorexx.csv,0.22,0.48,0.69,0.41,0.36
