,ns-3.csv,novembre.csv,open-beos.csv,cornerstone.csv,planeshift.csv,sbml.csv,frogatto.csv,ardour.csv
ardour.csv,0.75,0.38,0.57,0.56,0.86,0.87,0.94,0.74
cornerstone.csv,0.83,0.14,0.6,0.74,0.95,1.0,0.74,0.72
frogatto.csv,0.7,0.32,0.46,0.55,0.79,0.72,0.74,0.59
novembre.csv,0.73,0.53,0.46,0.52,0.89,0.65,0.67,0.78
ns-3.csv,0.8,0.29,0.52,0.62,0.82,0.77,0.7,0.62
open-beos.csv,0.76,0.32,0.63,0.6,0.8,0.84,0.75,0.69
planeshift.csv,0.72,0.34,0.45,0.58,0.86,0.84,0.51,0.56
sbml.csv,0.7,0.29,0.5,0.56,0.8,0.88,0.59,0.69
