,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,ogre.csv,autat.csv,mimosa.csv,qdvdauthor.csv,moast.csv,biodwh.csv,jcache.csv,zxing.csv
autat.csv,0.49,0.93,0.95,0.83,0.74,0.88,0.89,0.98,0.0,0.98,0.86,1.06,0.93,0.91,0.89
biodwh.csv,0.44,0.65,0.78,0.72,0.8,0.74,0.85,0.96,0.81,0.74,0.74,0.98,0.17,0.59,0.88
brlcad.csv,0.77,0.26,0.54,0.81,0.76,0.73,0.66,0.55,0.9,0.94,0.62,0.33,1.06,1.1,0.86
delphilhlplib.csv,0.79,1.0,0.06,0.92,0.87,0.8,0.91,1.01,0.53,0.67,1.0,1.17,0.7,0.4,0.67
exordium.csv,0.93,0.73,0.65,0.85,0.0,0.72,0.7,0.89,0.52,0.52,0.89,1.19,0.55,0.4,0.76
fltk.csv,0.56,0.66,0.57,0.12,0.3,0.54,0.43,0.78,0.7,0.93,0.63,0.28,0.61,0.37,0.82
gzigzag.csv,0.72,0.77,0.82,0.85,0.85,0.03,0.63,0.83,0.86,0.85,0.83,0.99,0.89,0.82,0.84
jcache.csv,0.79,0.84,0.9,0.65,0.71,0.6,0.77,0.69,0.7,0.37,0.69,0.55,0.47,0.0,0.85
mimosa.csv,0.57,0.9,0.84,0.47,0.48,0.57,0.46,0.64,0.77,0.05,0.59,0.3,0.57,0.31,0.7
moast.csv,0.95,0.96,1.0,0.95,0.84,0.76,1.0,0.97,1.0,0.95,0.93,0.03,0.83,0.88,0.98
mptvseries.csv,0.56,0.79,0.87,0.45,0.46,0.58,0.05,0.8,0.72,0.43,0.59,0.55,0.41,0.56,0.83
ogre.csv,0.96,1.0,0.89,1.0,0.86,1.0,0.87,0.0,1.0,1.0,1.0,0.97,1.0,1.0,1.01
qdvdauthor.csv,0.83,0.72,0.7,0.71,0.68,0.63,0.55,0.88,0.65,0.71,0.1,0.67,0.93,0.63,0.68
sauerbraten.csv,0.07,0.64,0.93,0.53,0.59,0.58,0.63,0.76,0.77,0.56,0.66,0.13,0.72,0.53,0.95
zxing.csv,0.55,0.84,0.79,0.66,0.68,0.58,0.61,0.93,0.69,0.76,0.42,0.97,0.63,0.34,0.02
