,mule.csv,springside.csv,swtfox.csv,twostep.csv,geotools.csv,l2j.csv
geotools.csv,0.28,0.05,0.14,0.18,0.95,0.12
l2j.csv,0.67,0.59,0.31,0.76,0.65,1.0
mule.csv,0.98,0.26,0.31,0.65,0.54,0.36
springside.csv,0.65,1.0,0.4,0.73,0.64,0.3
swtfox.csv,0.27,0.45,0.98,0.1,0.41,0.42
twostep.csv,0.5,0.49,0.55,1.0,0.52,0.61
