,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.48,0.83,0.82,0.55,0.85,0.96,0.27,0.43,0.86,0.61,0.69,0.56,0.58,0.59,0.85,0.46,0.78,0.74
brlcad.csv,0.96,0.5,0.65,0.85,0.46,0.91,0.51,0.68,0.79,0.79,0.89,0.84,0.89,0.83,0.82,0.49,0.93,0.65
genoviz.csv,0.82,0.96,1.0,0.83,1.0,1.1,0.74,0.94,0.72,0.7,0.8,0.91,0.88,0.98,0.85,1.0,0.88,0.11
gnupdate.csv,0.88,0.6,0.64,0.59,0.26,0.64,0.51,0.53,0.71,0.73,0.72,0.6,0.81,0.41,0.69,0.64,0.71,0.84
google-gears.csv,0.75,0.68,0.78,0.89,0.79,0.62,0.9,0.87,0.99,0.77,0.71,0.95,0.93,0.47,0.84,0.95,0.98,0.93
konversation.csv,0.41,0.74,0.59,0.31,0.39,0.74,0.49,0.45,0.6,0.74,0.61,0.61,0.65,0.53,0.64,0.52,0.74,0.88
linux-ntfs.csv,0.52,0.73,0.87,0.88,0.98,1.02,0.69,0.76,0.67,0.77,0.92,0.79,0.86,0.71,0.46,0.7,0.72,0.82
linuxsh.csv,0.8,0.68,0.58,0.92,0.7,0.97,0.67,0.73,0.73,0.78,0.88,0.83,0.89,0.89,0.95,0.64,0.96,0.81
modplug.csv,0.92,0.88,0.98,0.73,0.97,1.03,0.88,0.96,0.68,0.82,0.28,0.81,0.71,0.8,0.91,0.62,0.73,0.91
nativeclient.csv,0.61,0.62,0.61,0.49,0.5,0.82,0.46,0.46,0.47,0.72,0.44,0.56,0.48,0.56,0.63,0.41,0.46,0.59
ogre.csv,0.93,0.74,0.84,0.88,0.74,0.06,0.71,0.8,0.79,0.97,0.61,0.94,0.78,0.87,0.52,0.85,0.85,0.76
openfrag.csv,0.88,0.77,0.61,0.53,0.44,1.33,0.88,0.4,0.6,0.53,0.4,0.36,0.46,0.6,0.97,0.34,0.63,0.91
projecteqemu.csv,0.45,0.78,0.55,0.43,0.75,1.18,0.51,0.5,0.41,0.37,0.52,0.82,0.65,0.76,0.59,0.7,0.61,0.8
qse.csv,0.6,0.9,0.91,0.46,0.7,1.0,0.79,0.27,0.82,0.59,0.66,0.65,0.63,0.58,0.64,0.75,0.88,0.67
sandiaportals.csv,0.96,0.82,0.89,0.46,0.52,1.01,0.7,0.64,0.54,0.49,0.49,0.4,0.54,0.56,0.95,0.28,0.57,0.89
sauerbraten.csv,0.32,0.98,1.0,0.98,1.0,1.0,1.0,1.0,0.69,0.98,0.88,0.98,0.96,0.92,1.0,1.0,0.99,1.2
turbotrader-bos.csv,0.45,0.77,0.64,0.43,0.66,0.93,0.44,0.27,0.38,0.41,0.58,0.62,0.51,0.8,0.69,0.45,0.84,0.7
xapian.csv,0.73,0.79,0.78,0.59,0.56,1.22,0.72,0.54,0.75,0.63,0.4,0.71,0.35,0.81,0.8,0.57,0.78,0.87
