,opde.csv,mb-unit.csv,chipster.csv,delphilhlplib.csv,ivataopenportal.csv,pamguard.csv,jppf-project.csv,bigdata.csv,kolmafia.csv,quark.csv,tigermud.csv,emite.csv,l2j.csv,stajistics.csv,hydrate.csv,jfreechart.csv
bigdata.csv,0.45,0.65,0.92,0.6,0.71,0.38,0.85,0.43,0.36,0.69,0.42,0.8,0.7,0.93,0.67,0.31
chipster.csv,0.9,0.66,0.56,0.5,0.63,0.51,0.46,0.57,0.45,0.63,0.55,0.75,0.93,0.94,0.54,0.37
delphilhlplib.csv,0.78,0.55,0.52,0.42,0.87,0.75,0.61,0.61,0.52,0.62,0.53,0.81,0.75,0.59,0.45,0.55
emite.csv,0.74,0.76,0.49,0.74,0.64,0.47,0.57,0.64,0.49,0.71,0.55,0.57,0.55,0.72,0.79,0.56
hydrate.csv,0.64,0.67,0.6,0.44,0.63,0.39,0.41,0.5,0.44,0.41,0.48,0.85,0.68,0.71,0.37,0.57
ivataopenportal.csv,0.58,0.64,0.54,0.53,0.57,0.48,0.7,0.49,0.53,0.59,0.57,0.64,0.61,0.47,0.47,0.64
jppf-project.csv,0.37,0.45,0.42,0.38,0.46,0.33,0.35,0.43,0.36,0.39,0.43,0.38,0.4,0.46,0.37,0.28
kolmafia.csv,0.83,0.68,0.62,0.67,0.68,0.4,0.45,0.6,0.43,0.61,0.7,0.88,0.97,0.91,0.39,0.32
l2j.csv,0.58,0.44,0.39,0.4,0.53,0.32,0.31,0.39,0.35,0.5,0.43,0.43,0.45,0.42,0.35,0.31
mb-unit.csv,0.38,0.45,0.4,0.58,0.43,0.31,0.34,0.39,0.5,0.68,0.53,0.53,0.41,0.42,0.38,0.36
opde.csv,0.74,0.74,0.85,0.38,0.66,0.68,0.54,0.64,0.59,0.34,0.67,0.67,0.59,0.69,0.52,0.83
pamguard.csv,0.38,0.48,0.55,0.39,0.48,0.44,0.5,0.43,0.37,0.4,0.47,0.64,0.45,0.46,0.47,0.29
quark.csv,0.0,0.98,0.91,0.88,0.0,0.75,0.93,0.97,0.67,0.79,0.0,0.89,0.0,0.0,0.67,0.0
stajistics.csv,0.46,0.55,0.49,0.5,0.9,0.45,0.39,0.49,0.46,0.43,0.51,0.45,0.68,0.62,0.56,0.91
tigermud.csv,0.35,0.48,0.47,0.5,0.46,0.43,0.41,0.47,0.45,0.44,0.56,0.43,0.41,0.44,0.45,0.52
