,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.0,0.67,0.56,0.51,0.67,0.0,0.61,0.6,0.5,0.98,0.64
crisscross.csv,0.09,0.49,0.91,0.24,0.0,0.07,0.47,0.27,0.39,0.26,0.27
cubefs.csv,0.58,0.36,0.0,0.61,0.0,0.53,0.5,0.97,0.58,0.54,0.56
gisgraphy.csv,0.22,0.46,0.4,0.45,0.7,0.13,0.43,0.39,0.28,0.67,0.96
iaml.csv,0.55,0.48,0.58,0.55,0.81,0.48,0.95,0.45,0.56,0.53,0.56
ivataopenportal.csv,0.59,0.49,0.56,0.55,0.78,0.97,0.59,0.46,0.58,0.0,0.52
mb-unit.csv,0.27,0.27,0.63,0.99,0.49,0.58,0.38,0.62,0.57,0.27,0.39
mvdsv.csv,0.01,0.0,0.0,0.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0
nova.csv,0.59,1.0,0.75,0.5,0.0,0.44,0.52,0.54,0.54,0.39,0.51
openwbem.csv,0.94,0.46,0.37,0.53,0.58,0.56,0.56,0.33,0.48,0.74,0.67
xcmetadataservicestoolkit.csv,0.59,0.27,0.0,0.61,0.77,0.52,0.55,0.4,1.0,0.26,0.4
