,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,xcmetadataservicestoolkit.csv,arm-webradio.csv,gisgraphy.csv
arm-webradio.csv,0.36,0.33,0.18,0.85,0.17,0.51,0.71,0.73,0.7,1.0,0.45
crisscross.csv,0.47,0.23,0.9,0.91,0.0,0.54,0.58,0.86,0.82,0.24,0.36
cubefs.csv,0.39,0.22,0.17,0.87,0.0,0.5,0.59,0.99,0.75,0.29,0.34
gisgraphy.csv,0.37,0.2,0.15,0.82,0.29,0.67,0.65,0.69,0.62,0.36,0.95
iaml.csv,0.37,0.25,0.18,0.86,0.15,0.55,0.99,0.65,0.73,0.33,0.32
ivataopenportal.csv,0.38,0.2,0.2,0.88,0.14,0.98,0.62,0.67,0.76,0.27,0.3
mb-unit.csv,0.35,0.5,0.22,0.99,0.1,0.56,0.59,0.79,0.75,0.29,0.21
mvdsv.csv,0.6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
nova.csv,0.4,0.93,0.25,0.87,0.0,0.45,0.63,0.69,0.72,0.25,0.29
openwbem.csv,0.98,0.23,0.16,0.85,0.09,0.52,0.58,0.71,0.7,0.44,0.38
xcmetadataservicestoolkit.csv,0.42,0.18,0.17,0.9,0.14,0.54,0.57,0.76,1.0,0.2,0.23
