,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.25,0.5,0.79,1.0,0.55,0.25,0.0
flylegacy.csv,0.4,0.64,1.0,0.16,0.68,0.4,0.24
jguard.csv,0.38,0.66,0.81,0.14,0.66,1.0,0.25
mob-sen-plat.csv,0.33,1.0,0.71,0.16,0.54,0.44,0.17
raygina.csv,0.96,0.57,0.75,0.23,0.73,0.13,0.16
upp-mirror.csv,0.59,0.67,0.85,0.23,1.0,0.4,0.21
wishmaster.csv,0.36,0.62,0.83,0.11,0.62,0.35,1.0
