,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv
bloodycore.csv,0.92,0.8,0.52,0.98,0.77,0.75,0.8
flylegacy.csv,0.42,0.59,0.38,0.4,0.39,0.43,0.41
jguard.csv,0.4,0.43,0.49,0.38,0.59,0.67,0.95
mob-sen-plat.csv,0.71,0.39,0.71,0.77,0.68,0.59,0.74
raygina.csv,0.54,0.86,0.56,0.52,0.69,0.93,0.63
upp-mirror.csv,0.71,0.83,0.69,0.64,0.45,0.9,0.74
wishmaster.csv,0.91,0.5,0.51,0.98,0.66,0.94,0.92
