,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,1.0,1.0,0.56,0.77,0.95,1.0,0.59,1.0,0.97,1.0,1.0,0.74,0.95,0.98,0.85
aufs.csv,0.38,0.34,0.0,0.59,0.13,0.19,0.67,0.21,0.57,0.38,0.64,0.67,0.15,0.49,0.12
bulmages.csv,0.0,0.25,0.11,0.82,0.31,0.12,0.09,0.03,0.0,0.76,0.74,0.03,0.82,0.07,0.0
coot.csv,0.03,0.23,0.52,1.0,0.62,0.5,0.57,0.37,0.19,0.48,0.73,0.64,0.78,0.55,0.49
emono.csv,0.57,0.79,0.7,0.7,0.54,0.88,0.73,0.42,0.95,0.81,0.85,0.95,0.75,0.79,0.65
extprosys.csv,0.97,0.64,1.0,0.23,0.82,0.62,0.78,0.79,0.05,0.48,0.67,0.59,0.3,0.65,0.51
freelords.csv,0.76,0.66,0.93,0.55,0.92,0.81,0.68,0.95,0.76,0.62,0.59,0.41,0.82,0.48,0.71
jnode.csv,0.22,0.04,0.07,0.23,0.05,0.81,0.04,0.26,0.0,0.19,0.0,0.03,0.57,0.03,0.02
jruby.csv,0.68,0.02,0.81,1.0,0.67,0.75,0.28,0.55,1.0,0.95,0.9,0.92,0.02,0.75,0.15
jsecurity.csv,0.11,0.25,0.04,0.09,0.64,0.69,0.14,0.13,0.27,0.14,0.3,0.05,0.62,0.29,0.39
matrex.csv,0.41,0.08,0.11,0.55,0.08,0.31,0.04,0.45,0.16,0.0,0.82,0.21,0.08,0.13,0.18
officefloor.csv,0.51,0.21,0.19,0.05,0.18,0.56,0.1,0.68,0.49,0.19,0.34,0.31,0.32,0.33,0.31
projectfactory.csv,0.54,0.0,0.15,0.05,0.15,0.38,0.2,0.16,0.14,0.05,0.04,0.62,0.02,0.29,0.38
taverna.csv,0.41,0.13,0.63,0.02,0.21,0.5,0.16,0.37,0.03,0.29,0.15,0.69,0.57,0.17,0.46
vxl.csv,0.43,0.85,0.26,0.18,0.67,0.62,0.39,0.82,1.0,0.62,0.92,0.46,0.28,0.9,0.72
