,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.92,0.8,0.65,0.76,0.79,0.92,0.28,0.55,0.92,0.68,0.74
gstreamer.csv,0.49,0.6,0.68,0.65,0.68,0.48,0.12,0.58,0.58,0.27,0.46
ktc.csv,0.21,0.4,0.42,0.2,0.1,0.17,0.12,0.33,0.45,0.2,0.37
mbse.csv,0.57,0.23,0.25,0.55,0.47,0.35,0.08,0.57,0.51,0.17,0.28
nebuladevice.csv,0.45,0.4,0.01,0.29,0.41,0.52,0.08,0.52,0.24,0.01,0.33
neoengine.csv,0.2,0.33,1.0,0.43,0.12,0.79,0.12,0.97,0.63,0.97,0.67
openmalaria.csv,0.84,0.44,0.47,0.22,0.47,0.58,0.16,0.27,0.79,0.37,0.7
rtrt-on-gpu.csv,0.5,0.56,0.95,0.45,0.27,0.1,0.76,0.93,0.59,0.75,0.41
salasaga.csv,0.38,0.28,0.45,0.1,0.6,0.27,0.6,0.32,0.21,0.61,0.76
skia.csv,0.33,0.27,0.29,0.1,0.26,0.25,0.04,0.13,0.45,0.22,0.26
xemeiah.csv,0.28,0.7,0.76,0.02,0.28,0.58,0.56,0.4,0.25,0.65,0.65
