,dynalloy.csv,xbplayer.csv,autat.csv,runuomondains.csv,findbugs.csv
autat.csv,0.72,0.47,0.45,0.76,0.48
dynalloy.csv,0.32,0.65,0.92,0.71,0.75
findbugs.csv,0.84,0.43,0.87,0.39,0.56
runuomondains.csv,0.63,0.55,0.5,0.25,0.69
xbplayer.csv,0.72,0.43,0.6,0.48,0.81
