,graphmak.csv,pdfedit.csv,hazelcast.csv,betoffice.csv,tart.csv,jrdf.csv,elvishrayrenderer.csv
betoffice.csv,0.82,0.92,0.81,0.07,1.0,0.81,1.01
elvishrayrenderer.csv,0.63,0.61,0.69,0.83,0.61,0.6,0.06
graphmak.csv,0.0,0.84,0.78,0.96,0.5,0.94,0.88
hazelcast.csv,0.87,0.82,0.02,0.89,0.76,0.82,0.78
jrdf.csv,0.77,0.66,0.58,0.92,0.86,0.0,0.54
pdfedit.csv,0.77,0.02,0.53,0.79,0.55,0.73,0.57
tart.csv,1.0,1.0,0.93,0.67,0.2,0.9,0.94
