,graphmak.csv,pdfedit.csv,hazelcast.csv,betoffice.csv,tart.csv,jrdf.csv,elvishrayrenderer.csv
betoffice.csv,0.26,0.15,0.35,0.96,0.0,0.21,0.13
elvishrayrenderer.csv,0.52,0.62,0.74,0.31,0.12,0.38,0.97
graphmak.csv,1.0,0.27,0.36,0.08,0.17,0.09,0.23
hazelcast.csv,0.56,0.66,0.99,0.66,0.13,0.36,0.68
jrdf.csv,0.31,0.48,0.59,0.15,0.06,1.0,0.62
pdfedit.csv,0.38,0.99,0.66,0.33,0.15,0.26,0.66
tart.csv,0.0,0.0,0.16,0.47,0.89,0.13,0.11
