,empyrean.csv,amanda.csv,nutz.csv,bdbbasic.csv,gnome-jabber.csv
amanda.csv,0.54,0.71,0.46,0.59,0.04
bdbbasic.csv,0.38,0.65,0.56,0.66,0.24
empyrean.csv,0.72,0.0,0.0,0.0,0.0
gnome-jabber.csv,0.64,0.6,0.56,0.54,0.64
nutz.csv,0.5,0.44,0.74,0.33,0.51
