,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.55,0.26,0.0,0.94,0.39,0.41,0.42,0.2,0.43,0.38,0.54,0.44,0.31,0.48
autowikibrowser.csv,0.64,0.63,0.18,0.56,0.62,0.67,0.63,0.58,0.52,0.42,0.63,0.96,0.64,0.51
cities3d.csv,0.57,0.1,0.04,0.48,0.55,0.88,0.25,0.3,0.09,0.43,0.31,0.26,0.18,0.24
kmatplot.csv,0.97,0.28,0.21,0.34,0.47,0.28,0.38,0.23,0.17,0.28,0.21,0.31,0.13,0.39
libarchive.csv,0.64,0.73,0.25,0.54,0.66,0.69,0.67,0.58,0.62,0.56,0.61,0.75,0.7,0.97
lphant.csv,0.67,0.6,0.18,0.62,0.76,0.74,0.62,0.58,0.54,0.59,0.99,0.63,0.64,0.59
mob-sen-plat.csv,0.27,0.4,0.99,0.41,0.3,0.27,0.51,0.47,0.32,0.44,0.41,0.49,0.52,0.45
mscore.csv,0.51,0.73,0.67,0.65,0.67,0.7,0.68,0.99,0.54,0.65,0.56,0.53,0.58,0.58
pidgin.csv,0.65,0.68,0.4,0.63,0.62,0.6,0.98,0.65,0.67,0.5,0.52,0.54,0.67,0.64
quickfast.csv,0.51,0.68,0.14,0.46,0.57,0.46,0.61,0.61,0.51,0.39,0.6,0.69,0.99,0.61
raygina.csv,0.68,0.97,0.07,0.44,0.29,0.66,0.65,0.55,0.32,0.37,0.56,0.5,0.3,0.63
riff-evolve.csv,0.77,0.7,0.18,0.59,0.58,0.64,0.66,0.54,0.49,0.96,0.5,0.71,0.65,0.65
upp-mirror.csv,0.53,0.55,0.3,0.58,0.98,0.51,0.58,0.5,0.47,0.6,0.58,0.59,0.52,0.52
wishmaster.csv,0.25,0.19,0.18,0.24,0.29,0.42,0.0,0.3,0.94,0.14,0.11,0.38,0.07,0.0
