,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.62,0.41,0.35,0.63,0.4,0.39,0.41,0.43,0.42,0.85,0.47,0.43,0.46,0.52
autowikibrowser.csv,0.48,0.35,0.83,0.47,0.34,0.47,0.34,0.44,0.39,0.52,0.53,0.44,0.38,0.58
cities3d.csv,0.5,0.5,0.8,0.58,0.57,0.97,0.9,0.78,0.88,0.88,0.92,0.89,0.9,0.92
kmatplot.csv,0.86,0.92,0.92,0.84,0.67,0.98,0.58,0.97,0.92,0.98,0.9,0.93,0.83,0.81
libarchive.csv,0.52,0.35,0.73,0.49,0.4,0.49,0.37,0.5,0.36,0.6,0.43,0.37,0.33,0.56
lphant.csv,0.53,0.41,0.82,0.48,0.38,0.46,0.45,0.5,0.41,0.59,0.48,0.49,0.46,0.62
mob-sen-plat.csv,0.65,0.56,0.35,0.66,0.71,0.45,0.56,0.58,0.59,0.52,0.46,0.49,0.45,0.52
mscore.csv,0.51,0.48,0.42,0.47,0.4,0.71,0.4,0.47,0.37,0.45,0.42,0.53,0.37,0.6
pidgin.csv,0.42,0.4,0.72,0.45,0.4,0.36,0.39,0.45,0.38,0.49,0.37,0.46,0.36,0.49
quickfast.csv,0.61,0.34,0.82,0.6,0.36,0.56,0.37,0.47,0.44,0.53,0.46,0.38,0.38,0.51
raygina.csv,0.52,0.58,0.75,0.66,0.81,0.68,0.46,0.57,0.59,0.89,0.48,0.62,0.69,0.53
riff-evolve.csv,0.47,0.39,0.88,0.49,0.37,0.41,0.38,0.45,0.34,0.55,0.6,0.41,0.35,0.45
upp-mirror.csv,0.57,0.42,0.71,0.54,0.45,0.6,0.47,0.58,0.52,0.68,0.43,0.55,0.55,0.74
wishmaster.csv,0.91,0.93,0.88,0.89,0.86,0.72,0.0,0.87,0.92,0.96,0.75,0.76,0.86,0.0
