,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.39,0.49,0.74,0.95,0.72,0.16,0.78,0.71,0.35,0.45,0.52,0.58,0.64,0.56
autowikibrowser.csv,0.44,0.54,0.26,0.53,0.67,0.23,0.71,0.66,0.31,0.46,0.67,0.97,0.71,0.54
cities3d.csv,0.3,0.15,0.05,0.4,0.6,0.93,0.34,0.39,0.09,0.43,0.34,0.25,0.25,0.33
kmatplot.csv,0.97,0.32,0.27,0.36,0.52,0.2,0.47,0.31,0.15,0.33,0.25,0.41,0.19,0.42
libarchive.csv,0.38,0.62,0.32,0.49,0.71,0.23,0.75,0.63,0.36,0.59,0.58,0.71,0.73,0.97
lphant.csv,0.38,0.53,0.23,0.52,0.79,0.23,0.73,0.62,0.29,0.58,0.98,0.59,0.69,0.55
mob-sen-plat.csv,0.16,0.33,0.99,0.36,0.34,0.07,0.59,0.51,0.19,0.43,0.36,0.46,0.56,0.42
mscore.csv,0.28,0.61,0.74,0.55,0.74,0.37,0.75,1.0,0.29,0.63,0.5,0.52,0.62,0.59
pidgin.csv,0.36,0.57,0.47,0.53,0.67,0.18,0.99,0.69,0.36,0.52,0.51,0.5,0.7,0.58
quickfast.csv,0.33,0.58,0.18,0.45,0.62,0.16,0.73,0.67,0.29,0.45,0.57,0.66,0.99,0.55
raygina.csv,0.37,0.98,0.11,0.42,0.36,0.27,0.74,0.61,0.19,0.41,0.51,0.55,0.33,0.58
riff-evolve.csv,0.46,0.62,0.24,0.51,0.63,0.19,0.74,0.6,0.25,0.96,0.54,0.67,0.69,0.61
upp-mirror.csv,0.29,0.51,0.36,0.5,0.98,0.17,0.68,0.55,0.24,0.59,0.56,0.56,0.57,0.51
wishmaster.csv,0.19,0.21,0.24,0.24,0.38,0.16,0.0,0.38,0.96,0.19,0.15,0.43,0.11,0.0
