,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.52,0.84,0.94,0.93,0.88,0.89,0.85,0.9,1.0,0.33,0.73,0.84,0.77,0.84
autowikibrowser.csv,0.62,0.64,0.15,0.53,0.62,0.68,0.62,0.54,0.5,0.38,0.59,0.95,0.6,0.47
cities3d.csv,0.69,0.08,0.03,0.54,0.58,0.86,0.21,0.26,0.07,0.4,0.27,0.23,0.15,0.2
kmatplot.csv,0.97,0.24,0.18,0.3,0.47,0.24,0.33,0.19,0.14,0.24,0.18,0.27,0.11,0.35
libarchive.csv,0.66,0.8,0.21,0.52,0.64,0.73,0.7,0.57,0.64,0.53,0.59,0.77,0.7,0.96
lphant.csv,0.72,0.6,0.15,0.64,0.88,0.92,0.71,0.58,0.71,0.63,1.0,0.66,0.72,0.59
mob-sen-plat.csv,0.24,0.4,1.0,0.38,0.27,0.24,0.5,0.46,0.29,0.43,0.41,0.5,0.53,0.43
mscore.csv,0.52,0.84,0.64,0.69,0.81,0.68,0.69,0.99,0.57,0.73,0.55,0.5,0.64,0.55
pidgin.csv,0.83,0.76,0.36,0.76,0.62,0.84,0.99,0.66,0.79,0.47,0.73,0.57,0.7,0.71
quickfast.csv,0.48,0.76,0.12,0.42,0.58,0.43,0.71,0.7,0.5,0.35,0.59,0.7,1.0,0.69
raygina.csv,0.76,0.96,0.06,0.4,0.25,0.65,0.71,0.52,0.29,0.33,0.55,0.45,0.28,0.73
riff-evolve.csv,0.83,0.72,0.15,0.58,0.59,0.68,0.67,0.5,0.5,0.95,0.45,0.73,0.66,0.65
upp-mirror.csv,0.55,0.52,0.27,0.58,0.98,0.49,0.63,0.48,0.5,0.62,0.55,0.59,0.55,0.49
wishmaster.csv,0.21,0.16,0.15,0.21,0.25,0.38,0.0,0.26,0.93,0.12,0.09,0.34,0.06,0.0
