,kmatplot.csv,raygina.csv,mob-sen-plat.csv,applet2app.csv,upp-mirror.csv,cities3d.csv,pidgin.csv,mscore.csv,wishmaster.csv,riff-evolve.csv,lphant.csv,autowikibrowser.csv,quickfast.csv,libarchive.csv
applet2app.csv,0.26,0.93,1.0,0.01,0.88,0.87,0.86,0.95,0.87,0.12,0.73,0.85,0.91,0.82
autowikibrowser.csv,0.27,0.42,0.05,0.27,0.39,0.38,0.34,0.16,0.39,0.27,0.12,0.02,0.12,0.19
cities3d.csv,0.67,0.0,0.2,0.67,0.56,0.0,0.08,0.14,0.11,0.43,0.21,0.46,0.09,0.03
kmatplot.csv,0.01,0.14,0.3,0.2,0.51,0.11,0.14,0.06,0.16,0.2,0.18,0.06,0.03,0.21
libarchive.csv,0.41,0.47,0.2,0.33,0.27,0.43,0.41,0.35,0.44,0.27,0.3,0.33,0.31,0.01
lphant.csv,0.49,0.4,0.3,0.45,0.51,0.58,0.59,0.41,0.72,0.52,0.03,0.48,0.56,0.4
mob-sen-plat.csv,0.42,0.6,0.05,0.43,0.44,0.53,0.47,0.48,0.41,0.54,0.58,0.54,0.53,0.43
mscore.csv,0.51,0.53,0.15,0.47,0.61,0.18,0.36,0.0,0.54,0.55,0.42,0.33,0.59,0.24
pidgin.csv,0.65,0.53,0.3,0.63,0.37,0.72,0.05,0.4,0.59,0.34,0.76,0.57,0.44,0.54
quickfast.csv,0.34,0.51,0.35,0.25,0.46,0.37,0.61,0.59,0.44,0.2,0.33,0.35,0.03,0.59
raygina.csv,0.53,0.0,0.1,0.28,0.24,0.29,0.5,0.27,0.41,0.29,0.39,0.17,0.59,0.59
riff-evolve.csv,0.41,0.35,0.15,0.38,0.46,0.49,0.39,0.24,0.56,0.02,0.15,0.35,0.38,0.35
upp-mirror.csv,0.53,0.3,0.4,0.42,0.02,0.39,0.56,0.39,0.61,0.46,0.27,0.43,0.56,0.32
wishmaster.csv,0.21,0.23,0.15,0.28,0.12,0.3,0.0,0.16,0.0,0.15,0.06,0.19,0.12,0.0
