,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.29,0.44,0.83,0.5,0.45,0.74,0.62,0.52,0.67,0.54,0.73,0.55,0.03,0.67,0.89,0.6,0.33
blogentis.csv,0.6,0.33,0.17,0.67,0.36,0.12,0.0,0.01,0.58,0.33,0.54,0.37,0.37,0.25,0.14,0.53,0.69
bochs.csv,0.93,0.83,0.42,0.76,0.27,0.89,0.88,0.95,0.0,0.79,1.0,0.82,0.57,0.72,0.94,0.8,0.62
galaxium.csv,0.05,0.53,0.0,0.13,0.0,0.28,0.2,0.05,0.02,0.42,0.08,0.1,0.17,0.0,0.06,0.13,0.15
gisgraphy.csv,0.02,0.33,0.42,0.4,0.27,0.58,0.23,0.85,0.19,0.15,0.65,0.2,0.27,0.11,0.1,0.07,0.0
haphazard.csv,0.45,0.2,0.75,0.17,0.91,0.26,0.06,0.06,0.66,0.0,0.54,0.5,0.43,0.38,0.0,0.6,0.33
ipfire-wall.csv,0.39,0.4,0.17,0.35,0.27,0.09,0.22,0.17,0.6,0.62,0.0,0.33,0.1,0.29,0.21,0.33,0.46
jmri.csv,0.37,0.74,0.25,0.0,0.64,0.4,0.16,0.48,0.51,0.42,0.68,0.22,0.13,0.4,0.09,0.53,0.29
jvcl.csv,0.0,0.0,0.0,0.45,0.0,0.32,0.51,0.18,0.0,0.23,0.0,0.0,0.2,0.0,0.19,0.0,0.27
kaffeine.csv,0.84,1.0,0.58,0.86,0.0,0.85,0.81,0.99,0.89,1.0,0.92,0.93,1.0,0.76,0.82,1.0,0.9
m-a-d-n-e-s-s.csv,0.06,0.62,0.08,0.45,0.0,0.58,0.39,0.46,0.07,0.38,0.57,0.0,0.37,0.23,0.37,0.13,0.42
magicwars.csv,1.0,0.92,1.0,0.95,1.0,0.77,0.93,0.0,0.96,0.81,1.0,0.88,0.97,0.92,0.27,1.0,0.92
nh3d.csv,0.0,0.03,0.08,0.02,0.0,0.01,0.03,0.0,0.02,0.0,0.05,0.0,0.0,0.01,0.03,0.0,0.04
opentibia.csv,0.47,0.77,0.0,0.32,0.55,0.4,0.43,0.04,0.89,0.52,0.92,0.88,0.6,0.3,0.31,0.6,0.44
sarasvati.csv,0.01,0.23,0.67,0.1,0.91,0.0,0.01,0.02,0.11,0.08,0.41,0.5,0.0,0.45,0.0,0.07,0.02
smartgwt.csv,0.04,0.81,0.58,0.47,0.91,0.18,0.04,0.79,0.83,0.31,0.46,0.25,0.4,0.37,0.0,0.53,0.33
tweetsharp.csv,0.0,0.66,0.08,0.64,0.09,0.63,0.65,0.93,0.48,0.5,0.84,0.53,0.2,0.45,0.13,0.0,0.17
