,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,1.0,0.0,0.25,0.3
repositorium.csv,0.38,0.91,0.62,0.75
simplewebservices.csv,0.33,0.18,0.38,0.99
xbg.csv,0.04,0.0,1.0,0.12
