,foursquared.csv,repositorium.csv,xbg.csv,simplewebservices.csv
foursquared.csv,1.0,0.0,0.25,0.53
repositorium.csv,0.32,1.0,0.14,0.38
simplewebservices.csv,0.24,0.11,0.25,0.99
xbg.csv,0.33,0.0,1.0,0.48
