,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.92,0.79,0.78,0.65,0.67,0.9,0.89,0.41,0.69,0.95,0.89,0.94,0.67,0.79,0.55,0.92,0.0,0.91,0.57,0.65
clamav.csv,0.44,0.44,0.7,0.37,0.68,0.4,0.39,0.44,0.56,0.48,0.55,0.36,0.4,0.56,0.81,0.55,0.55,0.55,0.47,0.39
customsagetv.csv,0.9,0.89,0.7,0.69,0.88,0.0,0.89,0.5,0.46,0.93,0.0,0.5,0.0,0.8,0.63,0.51,0.0,0.86,0.88,0.95
gss.csv,0.31,0.41,0.49,0.36,0.4,0.42,0.38,0.33,0.41,0.41,0.49,0.33,0.62,0.38,0.33,0.56,0.39,0.44,0.4,0.45
guineu.csv,0.67,0.79,0.0,0.83,0.5,0.5,0.88,0.8,0.79,0.94,0.75,0.0,0.5,0.89,0.91,0.8,0.5,0.67,0.88,0.44
inkscape.csv,0.91,0.63,0.78,0.48,0.52,0.54,0.42,0.8,0.5,0.67,0.64,0.8,0.83,0.88,0.83,0.83,0.9,0.8,0.86,0.83
mpqc.csv,0.95,0.87,0.59,0.8,0.95,0.95,0.94,0.62,0.71,0.86,0.9,0.83,0.39,0.95,0.94,0.35,0.45,0.53,0.42,0.54
nsis.csv,0.39,0.42,0.52,0.54,0.39,0.47,0.4,0.52,0.6,0.45,0.49,0.44,0.5,0.42,0.39,0.36,0.4,0.44,0.44,0.66
octave.csv,0.38,0.53,0.41,0.39,0.95,0.68,0.5,0.45,0.58,0.65,0.88,0.73,0.48,0.53,0.37,0.37,0.69,0.43,0.43,0.36
owfs.csv,0.52,0.95,0.45,0.9,0.78,0.86,0.89,0.37,0.58,0.71,0.94,0.89,0.8,0.91,0.75,0.92,0.75,0.89,0.75,0.45
owlib.csv,0.47,0.55,0.49,0.41,0.52,0.52,0.47,0.63,0.72,0.54,0.59,0.58,0.53,0.58,0.56,0.44,0.41,0.56,0.53,0.44
pamguard.csv,0.45,0.58,0.49,0.43,0.59,0.65,0.64,0.53,0.5,0.68,0.9,0.73,0.56,0.59,0.44,0.44,0.57,0.5,0.36,0.38
papertoolkit.csv,0.0,0.94,0.0,0.0,0.8,0.91,0.89,0.0,0.0,0.83,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
prelude.csv,0.31,0.43,0.48,0.41,0.4,0.48,0.42,0.4,0.57,0.51,0.45,0.4,0.36,0.39,0.33,0.3,0.4,0.36,0.36,0.45
pustefix.csv,0.93,0.97,0.88,0.83,0.8,0.92,0.86,0.67,0.77,0.96,0.89,0.89,0.88,0.74,0.83,0.55,0.76,0.81,0.79,0.41
robocode.csv,0.49,0.97,0.5,0.38,0.84,0.9,0.89,0.52,0.5,0.75,0.86,0.75,0.62,0.65,0.53,0.78,0.86,0.58,0.78,0.43
scenemonitor.csv,0.45,0.63,0.57,0.89,0.53,0.53,0.43,0.5,0.68,0.56,0.63,0.7,0.58,0.53,0.41,0.52,0.65,0.48,0.48,0.57
tango-cs.csv,0.9,0.98,0.94,0.92,0.94,0.97,0.9,0.65,0.74,0.89,0.9,0.73,0.58,0.92,0.88,0.95,0.64,0.9,0.65,0.61
uwom-server.csv,0.76,0.97,0.83,0.88,0.87,0.53,0.92,0.66,0.68,0.8,0.89,0.75,0.39,0.92,0.77,0.48,0.67,0.51,0.48,0.49
zengine.csv,0.3,0.4,0.48,0.39,0.51,0.43,0.34,0.36,0.41,0.42,0.44,0.42,0.35,0.39,0.33,0.32,0.36,0.36,0.36,0.34
