,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.21,0.0,0.0,0.33,0.21,0.37,0.41,0.15,0.04,0.19,0.0,0.02,0.05,0.12,0.0,0.07,0.12,0.2,0.28,0.0
baadengine.csv,0.03,0.8,1.0,0.62,0.83,0.46,0.99,0.73,0.97,0.74,0.53,0.98,0.78,0.73,0.65,0.85,0.7,0.61,0.52,1.0
bibedt.csv,0.38,0.26,1.0,0.24,0.24,0.46,0.18,0.25,0.36,0.06,0.32,0.27,0.0,0.19,0.09,0.26,0.09,0.24,0.2,0.0
cascading.csv,0.12,0.63,1.0,0.24,0.45,0.24,0.09,0.53,0.43,0.28,0.24,0.35,0.49,0.35,0.27,0.71,0.06,0.34,0.04,0.0
dataobjectsdotnet.csv,0.66,0.25,1.0,0.38,0.69,0.17,0.0,0.68,0.19,0.72,0.2,0.4,0.22,0.08,0.4,0.37,0.48,0.02,0.65,0.0
gnome-jabber.csv,0.79,0.85,1.0,0.79,0.76,0.68,0.94,0.85,0.92,0.98,0.84,0.96,0.95,0.96,0.96,0.93,0.85,0.79,0.83,0.4
gogoego.csv,0.12,0.11,0.25,0.18,0.07,0.08,0.31,0.0,0.11,0.17,0.18,0.27,0.24,0.27,0.1,0.15,0.24,0.24,0.04,0.4
httpcontentparser.csv,0.31,0.03,0.0,0.05,0.45,0.43,0.03,0.04,0.04,0.13,0.0,0.0,0.44,0.5,0.04,0.07,0.0,0.56,0.67,0.6
impala.csv,0.43,0.74,0.0,0.75,0.62,0.67,0.4,0.43,0.49,0.15,0.7,0.62,0.76,0.65,0.04,0.01,0.06,0.66,0.78,0.8
jaxlib.csv,0.0,0.06,0.0,0.05,0.03,0.03,0.03,0.03,0.03,0.0,0.12,0.0,0.0,0.04,0.0,0.02,0.03,0.02,0.02,0.0
jgameai.csv,0.26,0.2,1.0,0.57,0.76,0.02,1.0,0.73,0.24,0.91,0.8,0.08,0.56,0.38,0.7,0.15,0.48,0.39,0.93,0.6
jhotdraw.csv,0.29,0.08,0.25,0.07,0.52,0.25,0.01,0.09,0.0,0.02,0.08,0.06,0.22,0.35,0.08,0.04,0.06,0.44,0.65,0.6
loki-lib.csv,0.58,0.46,0.75,0.39,0.24,0.48,0.66,0.41,0.5,0.53,0.58,0.71,0.51,0.58,0.51,0.67,0.52,0.42,0.0,0.4
patterntesting.csv,0.55,0.46,1.0,0.45,0.52,0.48,0.29,0.57,0.43,0.0,0.57,0.4,0.49,0.38,0.42,0.46,0.33,0.38,0.2,0.2
pokeglobal.csv,0.29,0.45,0.5,0.3,0.0,0.51,0.26,0.55,0.67,0.09,0.27,0.81,0.76,0.73,0.5,0.59,0.52,0.42,0.09,0.2
snakeyaml.csv,0.56,0.2,0.75,0.6,0.62,0.7,0.78,0.35,0.43,0.68,0.67,0.56,0.49,0.54,0.0,0.25,0.33,0.46,0.96,0.6
unflobtactical.csv,0.36,0.4,0.75,0.28,0.31,0.19,0.51,0.24,0.2,0.21,0.45,0.6,0.34,0.0,0.12,0.28,0.15,0.31,0.43,0.8
werx.csv,0.97,0.97,0.0,0.99,1.0,1.0,1.0,0.99,1.0,0.98,1.0,1.0,1.0,1.0,0.98,0.97,1.0,0.99,1.0,1.0
zealos.csv,0.65,0.34,0.75,0.32,0.38,0.4,0.0,0.48,0.34,0.34,0.54,0.27,0.61,0.31,0.34,0.55,0.45,0.45,0.57,0.6
