,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,1.0,0.0,0.0,101.0,4.0,0.0,6.0,5.0,0.0,6.0,187.0,49.0,0.0,0.0,205.0,8.0,0.0,0.0,6.0,96.0
baadengine.csv,0.0,2.0,0.0,45.0,4.0,0.0,11.0,7.0,0.0,2.0,2.0,24.0,14.0,2.0,26.0,7.0,0.0,2.0,3.0,3.0
bibedt.csv,0.0,0.0,0.0,14.0,0.0,0.0,0.0,9.0,4.0,1.0,5.0,49.0,0.0,1.0,2.0,18.0,0.0,8.0,0.0,0.0
cascading.csv,0.0,19.0,0.0,12.0,0.0,2.0,2.0,16.0,4.0,1.0,0.0,9.0,4.0,4.0,14.0,20.0,0.0,1.0,1.0,0.0
dataobjectsdotnet.csv,1.0,69.0,0.0,29.0,3.0,8.0,0.0,3.0,12.0,8.0,15.0,49.0,5.0,1.0,18.0,6.0,0.0,0.0,2.0,0.0
gnome-jabber.csv,1.0,3.0,0.0,65.0,0.0,0.0,11.0,11.0,0.0,8.0,3.0,28.0,2.0,0.0,70.0,7.0,0.0,5.0,1.0,2.0
gogoego.csv,0.0,69.0,0.0,101.0,1.0,0.0,0.0,0.0,9.0,1.0,16.0,49.0,1.0,3.0,7.0,7.0,0.0,2.0,2.0,0.0
httpcontentparser.csv,1.0,69.0,0.0,101.0,4.0,0.0,2.0,2.0,4.0,3.0,0.0,49.0,7.0,0.0,3.0,10.0,0.0,0.0,2.0,3.0
impala.csv,1.0,3.0,0.0,65.0,4.0,0.0,5.0,4.0,0.0,1.0,4.0,16.0,2.0,0.0,3.0,0.0,1.0,0.0,3.0,3.0
jaxlib.csv,621.0,69.0,0.0,101.0,0.0,0.0,0.0,5.0,339.0,76.0,3.0,0.0,50.0,0.0,205.0,207.0,1.0,0.0,0.0,0.0
jgameai.csv,0.0,4.0,0.0,101.0,2.0,0.0,11.0,4.0,0.0,8.0,6.0,2.0,2.0,2.0,61.0,7.0,0.0,1.0,4.0,3.0
jhotdraw.csv,0.0,69.0,0.0,101.0,3.0,3.0,1.0,7.0,0.0,0.0,1.0,49.0,1.0,0.0,10.0,207.0,0.0,1.0,6.0,3.0
loki-lib.csv,0.0,69.0,0.0,23.0,0.0,1.0,5.0,3.0,3.0,2.0,4.0,11.0,1.0,1.0,19.0,6.0,0.0,0.0,0.0,0.0
patterntesting.csv,0.0,1.0,0.0,31.0,0.0,4.0,1.0,19.0,0.0,0.0,6.0,10.0,0.0,0.0,34.0,19.0,0.0,1.0,1.0,0.0
pokeglobal.csv,0.0,0.0,0.0,18.0,0.0,0.0,2.0,3.0,0.0,0.0,26.0,23.0,6.0,0.0,34.0,12.0,1.0,0.0,0.0,0.0
snakeyaml.csv,1.0,1.0,0.0,50.0,4.0,0.0,9.0,5.0,0.0,8.0,6.0,12.0,2.0,0.0,0.0,10.0,0.0,0.0,4.0,3.0
unflobtactical.csv,0.0,2.0,0.0,101.0,1.0,2.0,7.0,4.0,0.0,4.0,3.0,11.0,3.0,0.0,9.0,2.0,2.0,1.0,5.0,3.0
werx.csv,1.0,3.0,0.0,83.0,4.0,0.0,11.0,5.0,0.0,8.0,6.0,25.0,2.0,0.0,70.0,8.0,0.0,0.0,4.0,3.0
zealos.csv,1.0,3.0,0.0,22.0,3.0,0.0,0.0,5.0,0.0,6.0,6.0,8.0,2.0,0.0,49.0,6.0,1.0,0.0,6.0,3.0
