,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.43,0.35,0.4,0.5,0.48,0.49,0.46,0.33,0.34,0.5,0.46,0.42,0.39,0.33,0.39,0.37,0.43,0.52,0.43,0.37
doomlegacy.csv,0.4,0.34,0.44,0.49,0.44,0.49,0.42,0.32,0.34,0.46,0.47,0.49,0.37,0.33,0.42,0.4,0.47,0.52,0.42,0.38
elmo.csv,0.91,0.83,0.0,0.83,0.98,0.86,0.97,0.92,0.97,0.67,0.93,0.92,0.96,0.5,0.92,0.75,0.67,0.86,0.98,0.91
enzo.csv,0.37,0.44,0.4,0.39,0.39,0.48,0.37,0.31,0.34,0.41,0.39,0.45,0.38,0.32,0.4,0.34,0.55,0.49,0.38,0.36
gpac.csv,0.58,0.92,0.75,0.5,0.73,0.59,0.5,0.51,0.59,0.47,0.58,0.7,0.58,0.8,0.69,0.77,0.51,0.65,0.81,0.63
img-browse-sort.csv,0.65,0.42,0.77,0.58,0.85,0.81,0.63,0.4,0.52,0.67,0.65,0.53,0.55,0.83,0.85,0.93,0.46,0.75,0.87,0.76
ktc.csv,0.5,0.52,0.52,0.86,0.61,0.54,0.61,0.58,0.51,0.53,0.81,0.47,0.49,0.45,0.68,0.5,0.54,0.69,0.64,0.63
neoengine.csv,0.46,0.52,0.59,0.39,0.54,0.48,0.49,0.54,0.54,0.48,0.54,0.53,0.49,0.41,0.5,0.4,0.56,0.44,0.52,0.5
nicepress.csv,0.64,0.8,0.72,0.75,0.58,0.6,0.78,0.56,0.53,0.5,0.64,0.55,0.8,0.57,0.67,0.65,0.6,0.8,0.65,0.55
open-ms.csv,0.63,0.69,0.73,0.46,0.9,0.68,0.52,0.94,0.74,0.43,0.68,0.79,0.65,0.52,0.7,0.67,0.92,0.88,0.88,0.8
pcsx2.csv,0.48,0.43,0.46,0.54,0.48,0.48,0.41,0.38,0.4,0.45,0.47,0.45,0.48,0.48,0.44,0.56,0.53,0.57,0.6,0.42
pi-qmc.csv,0.46,0.41,0.52,0.38,0.62,0.58,0.5,0.38,0.53,0.37,0.56,0.5,0.43,0.46,0.59,0.67,0.41,0.57,0.53,0.58
rosegarden.csv,0.54,0.78,0.61,0.54,0.65,0.62,0.66,0.78,0.63,0.59,0.67,0.54,0.5,0.91,0.64,0.57,0.61,0.8,0.63,0.65
salasaga.csv,0.51,0.53,0.65,0.52,0.69,0.61,0.48,0.68,0.64,0.64,0.62,0.75,0.57,0.61,0.69,0.62,0.88,0.54,0.58,0.72
sigil.csv,0.62,0.53,0.61,0.62,0.8,0.67,0.49,0.92,0.94,0.42,0.55,0.48,0.72,0.65,0.8,0.92,0.62,0.63,0.77,0.59
skia.csv,0.6,0.72,0.54,0.92,0.68,0.71,0.77,0.69,0.52,0.5,0.95,0.94,0.61,0.75,0.64,0.58,0.68,0.67,0.64,0.64
smarttag.csv,0.41,0.45,0.5,0.45,0.52,0.56,0.47,0.37,0.38,0.71,0.52,0.57,0.42,0.35,0.59,0.43,0.45,0.69,0.49,0.52
sylpheed-claws.csv,0.51,0.41,0.51,0.53,0.56,0.55,0.44,0.44,0.5,0.67,0.5,0.55,0.41,0.48,0.55,0.5,0.55,0.58,0.52,0.47
xemeiah.csv,0.46,0.36,0.52,0.42,0.56,0.51,0.6,0.34,0.44,0.52,0.59,0.5,0.43,0.47,0.52,0.42,0.57,0.56,0.52,0.42
zscreen.csv,0.42,0.46,0.5,0.49,0.49,0.49,0.38,0.46,0.55,0.41,0.49,0.47,0.48,0.41,0.38,0.51,0.54,0.61,0.52,0.42
