,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.36,0.5,0.4,0.33,0.35,0.46,0.4,0.36,0.47,0.48,0.47,0.38,0.58,0.67,0.41,0.44,0.38
cubefs.csv,0.56,0.56,0.57,0.56,0.43,0.57,0.7,0.48,0.62,0.55,0.49,0.49,0.85,0.52,0.35,0.54,0.39
gwanted.csv,0.76,0.97,0.88,0.86,0.55,0.69,0.56,0.72,0.61,0.96,0.5,0.88,0.86,0.0,0.73,0.8,0.67
iaml.csv,0.43,0.58,0.46,0.5,0.37,0.49,0.54,0.54,0.57,0.61,0.77,0.73,0.5,0.45,0.5,0.6,0.45
java-gnome.csv,0.52,0.68,0.61,0.4,0.38,0.55,0.47,0.7,0.52,0.6,0.5,0.42,0.47,0.76,0.42,0.5,0.49
mecat.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0
mvdsv.csv,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openwbem.csv,0.41,0.64,0.55,0.46,0.37,0.47,0.46,0.43,0.65,0.5,0.59,0.47,0.39,0.71,0.37,0.51,0.47
orc.csv,0.68,0.8,0.91,0.93,0.55,0.81,0.5,0.64,0.82,0.81,0.55,0.63,0.64,0.92,0.55,0.52,0.93
plato.csv,0.42,0.56,0.45,0.36,0.0,0.47,0.45,0.45,0.48,0.46,0.47,0.56,0.41,0.38,0.38,0.55,0.41
rodin-b-sharp.csv,0.54,0.9,0.61,0.64,0.38,0.78,0.64,0.68,0.8,0.94,0.94,0.47,0.45,0.75,0.5,0.73,0.58
ta3d.csv,0.39,0.53,0.41,0.35,0.39,0.37,0.41,0.4,0.49,0.45,0.48,0.38,0.32,0.41,0.3,0.33,0.41
tycho.csv,0.5,0.52,0.54,0.38,0.38,0.44,0.5,0.44,0.5,0.5,0.61,0.42,0.62,0.54,0.41,0.45,0.72
umber.csv,0.58,0.99,0.93,0.94,0.47,0.0,0.67,0.93,0.68,0.95,0.93,0.48,0.8,0.0,0.61,0.85,0.0
vienna-add-in.csv,0.52,0.53,0.37,0.31,0.36,0.54,0.38,0.43,0.48,0.41,0.41,0.44,0.36,0.6,0.39,0.42,0.41
wpdev.csv,0.34,0.49,0.39,0.29,0.38,0.41,0.39,0.38,0.4,0.4,0.42,0.38,0.34,0.38,0.33,0.35,0.41
