,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.46,0.56,0.81,0.16,0.22,0.55,0.75,0.51,0.48,0.17,0.72,0.81,0.0,0.36,0.09,1.0,0.66
cubefs.csv,0.59,0.46,0.56,0.18,0.2,0.59,0.35,0.39,0.53,0.28,0.98,0.67,0.0,0.59,0.11,0.46,0.7
gwanted.csv,0.09,0.17,0.11,0.17,0.0,0.37,0.71,0.51,0.61,0.98,0.05,0.25,0.0,0.0,0.11,0.12,0.16
iaml.csv,0.41,0.41,0.63,0.21,0.2,0.6,0.71,0.36,0.99,0.36,0.29,0.38,0.0,0.45,0.13,0.43,0.47
java-gnome.csv,0.7,0.42,0.65,0.16,0.16,0.61,0.52,0.48,0.61,0.28,0.66,1.0,0.06,0.47,0.04,0.61,0.74
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
openwbem.csv,0.51,0.97,0.74,0.19,0.19,0.68,0.89,0.54,0.43,0.23,0.61,0.79,0.05,0.67,0.07,0.72,0.77
orc.csv,0.54,0.04,0.15,0.93,0.26,0.5,0.83,0.46,0.53,0.29,0.55,0.7,0.0,0.17,0.11,0.7,0.4
plato.csv,0.14,0.48,0.73,0.15,0.0,0.71,1.0,0.53,0.68,0.3,0.69,0.54,0.04,0.65,0.08,0.67,0.76
rodin-b-sharp.csv,0.6,0.35,0.77,0.19,0.17,0.38,0.39,0.99,0.32,0.23,0.29,0.8,0.0,0.05,0.12,0.33,0.54
ta3d.csv,0.38,0.47,0.81,0.15,0.16,0.63,0.56,0.42,0.68,0.41,0.65,0.69,0.04,0.56,0.08,0.73,0.99
tycho.csv,0.35,0.49,0.79,0.2,0.16,0.67,0.83,0.53,0.54,0.3,0.64,0.84,0.08,1.0,0.13,0.79,0.53
umber.csv,1.0,0.19,0.2,0.19,0.15,0.02,0.13,0.3,0.41,0.28,0.24,0.83,0.0,0.0,0.0,0.36,0.06
vienna-add-in.csv,0.74,0.54,0.93,0.17,0.16,0.99,0.76,0.5,0.62,0.33,0.78,0.82,0.04,0.51,0.04,0.58,0.81
wpdev.csv,0.41,0.53,1.0,0.19,0.16,0.79,0.86,0.53,0.73,0.29,0.81,0.88,0.03,0.67,0.09,0.8,0.81
