,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.7,0.58,0.32,0.89,0.67,0.77,0.81,0.78,0.73,0.89,0.73,0.83,1.08,0.82,0.78,0.0,0.64
cubefs.csv,0.38,0.7,0.61,0.69,0.59,0.58,0.8,0.74,0.68,0.65,0.06,0.62,1.02,0.58,0.8,0.73,0.74
gwanted.csv,0.99,0.9,0.94,0.88,1.22,0.77,0.95,0.59,0.62,0.04,0.97,0.86,1.01,1.0,0.71,0.94,0.91
iaml.csv,0.65,0.68,0.54,0.61,0.59,0.8,0.55,0.77,0.02,0.53,0.87,0.86,1.11,0.97,0.55,0.75,0.77
java-gnome.csv,0.25,0.7,0.52,0.79,1.0,0.67,0.72,0.6,0.67,0.66,0.7,0.0,0.56,0.72,1.03,0.63,0.84
mecat.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
mvdsv.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
openwbem.csv,0.6,0.05,1.08,0.68,0.81,0.92,0.88,0.86,0.74,0.86,0.72,0.84,0.63,0.47,0.93,0.57,0.66
orc.csv,0.47,0.98,0.92,0.12,0.54,0.75,0.89,0.67,0.66,0.64,0.89,0.48,1.07,0.93,0.61,0.59,0.78
plato.csv,1.14,0.74,1.08,0.86,1.0,0.9,0.0,0.75,0.67,0.73,0.98,0.98,0.73,1.01,0.87,0.58,0.72
rodin-b-sharp.csv,0.37,0.74,0.62,0.66,0.9,0.77,0.83,0.02,0.82,0.83,0.83,0.38,1.15,0.98,0.57,0.9,0.74
ta3d.csv,0.73,0.61,0.59,0.86,0.72,0.84,0.76,0.82,0.53,0.47,0.59,0.73,0.78,0.87,0.81,0.79,0.03
tycho.csv,0.73,0.92,0.61,0.73,1.0,0.68,0.77,0.79,0.84,0.75,0.78,0.94,0.39,0.0,0.68,0.48,0.78
umber.csv,0.0,0.88,0.89,0.82,0.76,0.99,0.93,0.79,0.77,0.76,0.86,0.31,1.0,1.0,1.07,0.78,0.97
vienna-add-in.csv,0.21,0.59,1.01,0.93,0.97,0.01,0.6,0.77,0.74,0.66,0.83,0.82,0.93,0.78,1.07,0.9,1.0
wpdev.csv,1.0,1.0,0.0,1.0,1.0,0.98,1.0,1.0,1.0,0.95,1.0,1.0,0.97,1.0,1.0,0.88,1.0
