,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.59,0.56,0.28,0.3,0.27,0.54,0.52,0.7,0.79,0.39,0.19,0.33,0.58,0.5,0.57,0.19,0.55,0.64,0.64,0.33
clamav.csv,0.5,0.64,0.66,0.56,0.74,0.48,0.69,0.56,0.7,0.6,0.32,0.58,0.48,0.68,0.28,0.54,0.76,0.66,0.42,0.5
customsagetv.csv,0.36,0.05,0.0,0.22,0.54,0.18,0.22,0.3,0.0,0.27,0.26,0.19,0.12,0.16,0.18,0.87,0.12,0.38,0.31,0.49
gss.csv,0.13,0.64,0.71,0.61,0.66,0.44,0.69,0.67,0.77,0.63,0.36,0.45,0.65,0.57,0.59,0.43,0.67,0.31,0.77,0.53
guineu.csv,0.6,0.52,0.23,0.39,0.52,0.35,0.27,0.4,0.27,0.41,0.3,0.43,0.24,0.46,0.56,0.49,0.24,0.0,0.6,0.54
inkscape.csv,0.55,0.61,0.0,0.0,0.31,0.34,0.71,0.49,0.32,0.64,0.25,0.0,0.24,0.2,0.24,0.45,0.0,0.42,0.2,0.59
mpqc.csv,0.31,0.22,0.24,0.0,0.3,0.62,0.36,0.45,0.31,0.38,0.55,0.29,0.46,0.38,0.42,0.45,0.12,0.36,0.4,0.31
nsis.csv,0.5,0.42,0.64,0.3,0.37,0.62,0.37,0.35,0.55,0.52,0.72,0.73,0.42,0.53,0.49,0.75,0.18,0.41,0.57,0.51
octave.csv,0.44,0.57,0.2,0.59,0.58,0.29,0.52,0.47,0.1,0.42,0.28,0.49,0.29,0.47,0.4,0.68,0.24,0.0,0.23,0.34
owfs.csv,0.32,0.52,0.61,0.65,0.62,0.4,0.52,0.48,0.67,0.33,0.53,0.56,0.43,0.49,0.56,0.27,0.53,0.41,0.54,0.32
owlib.csv,0.66,0.69,0.43,0.66,0.64,0.22,0.63,0.66,0.63,0.61,0.41,0.45,0.44,0.54,0.45,0.58,0.7,0.36,0.54,0.58
pamguard.csv,0.27,0.36,0.53,0.49,0.6,0.39,0.47,0.61,0.57,0.33,0.19,0.39,0.55,0.2,0.67,0.14,0.57,0.0,0.6,0.54
papertoolkit.csv,0.47,0.32,0.02,0.11,0.21,0.38,0.44,0.3,0.44,0.49,0.28,0.6,0.12,0.2,0.2,0.32,0.12,0.96,0.31,0.46
prelude.csv,0.21,0.05,0.87,0.47,0.33,0.4,0.54,0.27,0.61,0.48,0.0,0.74,0.54,0.2,0.24,0.55,0.3,0.7,0.53,0.17
pustefix.csv,0.42,0.46,0.31,0.46,0.45,0.44,0.69,0.3,0.18,0.44,0.18,0.57,0.12,0.61,0.38,0.47,0.65,0.69,0.16,0.41
robocode.csv,0.72,0.58,0.0,0.59,0.65,0.47,0.73,0.76,0.68,0.62,0.37,0.39,0.44,0.54,0.51,0.58,0.49,0.82,0.62,0.51
scenemonitor.csv,0.53,0.13,0.15,0.48,0.11,0.18,0.25,0.59,0.59,0.31,0.09,0.19,0.76,0.43,0.35,0.12,0.39,0.37,0.42,0.36
tango-cs.csv,0.54,0.42,0.17,0.21,0.31,0.47,0.72,0.53,0.45,0.57,0.0,0.28,0.0,0.43,0.38,0.22,0.58,0.25,0.48,0.61
uwom-server.csv,0.18,0.23,0.0,0.11,0.64,0.29,0.46,0.42,0.71,0.64,0.24,0.51,0.48,0.05,0.38,0.38,0.34,0.36,0.46,0.57
zengine.csv,0.0,0.05,0.66,0.38,0.17,0.42,0.13,0.0,0.32,0.36,0.43,0.88,0.43,0.13,0.0,0.54,0.5,0.13,0.35,0.05
