,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.49,0.5,0.37,0.15,0.21,0.28,0.56,0.67,0.67,0.28,0.27,0.43,0.5,0.39,0.63,0.21,0.47,0.12,0.68,0.57
clamav.csv,0.44,0.57,0.75,0.28,0.45,0.21,0.73,0.54,0.51,0.44,0.43,0.68,0.46,0.48,0.34,0.56,0.71,0.14,0.47,0.55
customsagetv.csv,0.44,0.08,0.0,0.31,0.37,0.12,0.28,0.34,0.0,0.29,0.36,0.27,0.17,0.16,0.25,0.88,0.17,0.4,0.39,0.43
gss.csv,0.44,0.56,0.8,0.31,0.36,0.19,0.74,0.7,0.46,0.41,0.7,0.55,0.6,0.44,0.69,0.61,0.59,0.07,0.79,0.58
guineu.csv,0.53,0.46,0.32,0.23,0.27,0.14,0.36,0.53,0.19,0.28,0.4,0.53,0.3,0.36,0.66,0.56,0.26,0.0,0.64,0.48
inkscape.csv,0.41,0.58,0.88,0.3,0.3,0.29,0.73,0.51,0.29,0.42,0.35,0.86,0.53,0.15,0.77,0.72,0.0,0.07,0.71,0.55
mpqc.csv,0.26,0.21,0.32,0.0,0.14,0.39,0.39,0.42,0.14,0.25,0.69,0.38,0.39,0.25,0.49,0.47,0.12,0.06,0.46,0.31
nsis.csv,0.42,0.43,0.75,0.18,0.19,0.31,0.63,0.34,0.3,0.34,0.81,0.83,0.41,0.38,0.67,0.75,0.15,0.1,0.63,0.46
octave.csv,0.35,0.51,0.29,0.3,0.41,0.18,0.59,0.44,0.06,0.29,0.39,0.59,0.3,0.43,0.47,0.7,0.27,0.0,0.29,0.33
owfs.csv,0.39,0.5,0.71,0.4,0.32,0.17,0.72,0.52,0.41,0.42,0.78,0.67,0.48,0.35,0.75,0.7,0.44,0.1,0.61,0.54
owlib.csv,0.51,0.64,0.55,0.35,0.38,0.1,0.66,0.62,0.42,0.43,0.54,0.55,0.43,0.43,0.52,0.6,0.64,0.07,0.61,0.52
pamguard.csv,0.24,0.39,0.63,0.33,0.38,0.22,0.53,0.58,0.41,0.3,0.27,0.51,0.48,0.21,0.72,0.14,0.5,0.0,0.65,0.5
papertoolkit.csv,0.37,0.37,0.05,0.11,0.19,0.19,0.5,0.33,0.22,0.39,0.39,0.7,0.16,0.24,0.27,0.34,0.17,0.35,0.38,0.43
prelude.csv,0.47,0.57,0.91,0.33,0.31,0.23,0.77,0.6,0.34,0.43,0.74,0.84,0.51,0.41,0.77,0.74,0.53,0.13,0.74,0.54
pustefix.csv,0.42,0.55,0.42,0.23,0.29,0.19,0.71,0.36,0.1,0.33,0.26,0.67,0.17,0.55,0.44,0.58,0.54,0.24,0.23,0.35
robocode.csv,0.55,0.53,0.0,0.44,0.37,0.21,0.75,0.72,0.37,0.47,0.49,0.5,0.46,0.41,0.57,0.59,0.46,0.16,0.67,0.55
scenemonitor.csv,0.46,0.19,0.21,0.29,0.15,0.14,0.32,0.56,0.61,0.26,0.13,0.27,0.73,0.35,0.43,0.12,0.4,0.09,0.52,0.35
tango-cs.csv,0.48,0.38,0.24,0.2,0.2,0.2,0.74,0.62,0.23,0.38,0.66,0.73,0.51,0.37,0.45,0.24,0.54,0.07,0.52,0.56
uwom-server.csv,0.21,0.25,0.0,0.11,0.39,0.16,0.54,0.41,0.42,0.47,0.34,0.62,0.44,0.07,0.44,0.45,0.37,0.08,0.53,0.5
zengine.csv,0.47,0.56,0.76,0.25,0.31,0.29,0.72,0.62,0.32,0.42,0.91,0.92,0.48,0.39,0.75,0.72,0.52,0.09,0.74,0.52
