,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,scenemonitor.csv,pustefix.csv,pamguard.csv,customsagetv.csv,clamav.csv,papertoolkit.csv,gss.csv,tango-cs.csv
checker-framework.csv,0.55,0.73,0.78,0.89,0.8,0.79,0.68,0.44,0.26,0.75,0.94,0.73,0.64,0.64,0.62,1.02,0.63,0.56,0.56,0.91
clamav.csv,0.61,0.56,0.45,0.71,0.43,0.82,0.59,0.73,0.39,0.55,0.78,0.59,0.63,0.59,0.81,0.65,0.32,0.51,0.75,0.83
customsagetv.csv,0.69,0.96,1.0,0.82,0.56,0.89,0.84,0.77,1.01,0.78,0.83,0.84,0.9,0.89,0.86,0.18,0.9,0.67,0.75,0.73
gss.csv,0.97,0.61,0.39,0.69,0.69,0.82,0.64,0.71,0.46,0.67,0.95,0.67,0.69,0.77,0.72,0.88,0.7,0.96,0.34,0.8
guineu.csv,0.51,0.77,0.81,0.74,0.79,0.93,0.77,0.9,0.81,0.76,0.8,0.76,0.81,0.68,0.74,0.58,0.82,1.03,0.62,0.67
inkscape.csv,0.73,0.72,1.0,1.0,0.74,0.71,0.44,0.83,0.92,0.64,0.89,1.0,0.94,0.93,0.94,0.86,1.0,0.9,0.96,0.74
mpqc.csv,0.82,0.91,0.96,1.02,0.9,0.48,0.8,0.83,0.98,0.82,0.62,0.85,0.83,0.89,0.71,0.76,0.96,0.81,0.9,0.79
nsis.csv,0.82,0.9,0.56,0.82,0.96,0.6,0.91,0.97,0.76,0.79,0.33,0.53,0.91,0.79,0.83,0.44,0.96,0.88,0.73,0.8
octave.csv,0.72,0.69,0.83,0.67,0.52,0.8,0.56,0.77,0.97,0.74,0.94,0.67,0.79,0.6,0.7,0.64,0.82,1.02,0.85,0.79
owfs.csv,0.94,0.8,0.47,0.49,0.71,0.86,0.82,0.84,0.5,0.91,0.78,0.65,0.88,0.7,0.77,0.93,0.75,0.88,0.54,0.92
owlib.csv,0.65,0.45,0.62,0.59,0.51,0.97,0.6,0.56,0.49,0.56,0.75,0.67,0.66,0.59,0.65,0.68,0.41,0.78,0.54,0.71
pamguard.csv,0.83,0.71,0.53,0.61,0.53,0.73,0.64,0.61,0.52,0.74,0.88,0.66,0.65,0.84,0.54,1.06,0.58,1.04,0.5,0.78
papertoolkit.csv,0.71,0.74,0.98,0.92,0.83,0.79,0.65,0.78,0.82,0.62,0.81,0.57,0.9,0.83,0.85,0.86,0.9,0.18,0.76,0.69
prelude.csv,0.95,0.99,0.17,0.85,0.91,0.9,0.81,0.93,0.73,0.84,1.06,0.52,0.79,0.96,0.94,0.8,0.92,0.68,0.81,0.96
pustefix.csv,0.65,0.85,0.74,0.75,0.66,0.87,0.53,0.75,0.96,0.69,0.9,0.56,0.9,0.47,0.75,0.58,0.63,0.39,0.87,0.82
robocode.csv,0.6,0.59,1.0,0.49,0.53,0.85,0.5,0.39,0.64,0.51,0.79,0.66,0.64,0.61,0.69,0.67,0.62,0.52,0.54,0.81
scenemonitor.csv,0.58,0.89,0.88,0.65,0.91,0.87,0.8,0.61,0.46,0.77,0.97,0.84,0.31,0.69,0.72,1.07,0.69,0.73,0.64,0.77
tango-cs.csv,0.8,0.76,0.86,0.83,0.79,0.84,0.51,0.8,0.87,0.65,1.1,0.95,1.0,0.66,0.72,1.11,0.53,0.99,0.73,0.53
uwom-server.csv,0.86,0.85,1.0,0.92,0.5,0.82,0.61,0.74,0.5,0.51,0.84,0.55,0.67,0.96,0.75,0.69,0.72,0.76,0.84,0.69
zengine.csv,1.0,0.99,0.55,0.91,0.96,0.87,0.97,1.0,0.91,0.9,0.86,0.16,0.88,0.98,1.0,0.8,0.82,0.97,0.9,0.99
