,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.7,0.84,0.56,0.74,0.71,0.33,0.29,0.93,0.08,0.89
geotools.csv,0.75,0.95,0.88,0.98,0.85,0.73,0.6,0.92,0.31,0.72
gephex.csv,0.9,0.92,0.56,1.0,0.81,0.87,0.78,0.73,0.66,0.59
haggle.csv,0.05,0.68,0.4,0.12,0.17,0.6,0.29,0.41,0.05,0.09
java-gnome.csv,0.2,0.27,0.48,0.79,0.23,0.67,0.51,0.35,0.39,0.61
jgnash.csv,0.45,0.53,0.64,0.63,0.44,0.53,0.64,0.69,0.42,0.83
jrdf.csv,0.1,0.11,0.44,0.72,0.4,0.8,0.47,0.07,0.48,0.11
mpqc.csv,0.55,0.15,0.0,0.07,0.21,0.07,0.11,0.32,0.46,0.47
panda3d.csv,0.7,0.39,0.48,0.44,0.58,0.4,0.64,0.41,0.37,0.3
tencompetence.csv,0.4,0.26,0.56,0.67,0.42,0.8,0.46,0.1,0.81,0.19
