,f1,g,recall,precision,pf,wins
codesmith.csv,0.385,0.555,0.705,0.485,0.625,6
geotools.csv,0.53,0.455,0.8,0.485,0.705,8
gephex.csv,0.53,0.52,0.795,0.46499999999999997,0.75,7
haggle.csv,0.29,0.265,0.22999999999999998,0.5,0.13,2
java-gnome.csv,0.41500000000000004,0.46499999999999997,0.435,0.43000000000000005,0.35,4
jgnash.csv,0.48,0.525,0.5800000000000001,0.485,0.45,9
jrdf.csv,0.28,0.44,0.42000000000000004,0.425,0.27,3
mpqc.csv,0.24,0.215,0.18,0.44499999999999995,0.275,0
panda3d.csv,0.44499999999999995,0.46499999999999997,0.425,0.49,0.345,5
tencompetence.csv,0.31,0.435,0.44,0.35,0.51,1
