,mpqc.csv,haggle.csv,jgnash.csv,java-gnome.csv,panda3d.csv,jrdf.csv,geotools.csv,gephex.csv,tencompetence.csv,codesmith.csv
codesmith.csv,0.77,0.7,0.55,0.68,0.76,0.92,0.73,0.91,0.93,0.31
geotools.csv,0.89,0.9,0.58,0.88,0.85,0.35,0.51,0.86,0.87,0.63
gephex.csv,0.76,0.98,0.69,1.0,0.83,0.57,0.65,0.41,0.82,0.87
haggle.csv,0.95,0.53,0.6,0.88,0.87,0.51,0.72,0.71,0.96,0.91
java-gnome.csv,0.87,0.85,0.57,0.24,0.84,0.48,0.65,0.69,0.78,0.68
jgnash.csv,0.76,0.58,0.42,0.62,0.64,0.53,0.54,0.82,0.82,0.84
jrdf.csv,0.91,0.9,0.78,0.47,0.65,0.32,0.68,0.93,0.6,1.08
mpqc.csv,0.5,0.87,1.03,0.94,0.82,0.98,0.94,0.78,0.7,0.65
panda3d.csv,0.62,0.69,0.58,0.58,0.53,0.67,0.67,0.74,0.73,0.85
tencompetence.csv,0.64,0.89,0.69,0.65,0.73,0.87,0.89,0.91,0.35,0.97
