,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.49,0.57,1.06,0.59,0.78,0.38,0.77,0.71,0.81,0.44,0.31,0.59,0.59,0.72,0.74,0.62,0.57,0.54,0.6
auber.csv,0.98,0.73,0.99,0.59,0.78,1.0,0.83,0.89,0.79,0.8,1.02,0.6,0.32,0.63,1.04,0.84,0.95,0.66,0.7
cortex-vfx.csv,0.45,0.62,1.05,0.57,0.55,0.4,0.72,0.67,0.74,0.62,0.72,0.53,0.58,0.56,0.71,0.65,0.84,0.57,0.55
empserver.csv,0.54,0.74,0.98,0.49,0.69,0.47,0.47,0.89,0.83,0.59,0.59,0.66,0.69,0.79,0.84,0.9,0.8,0.64,0.62
flylegacy.csv,0.83,0.51,1.34,0.75,0.59,0.54,0.58,0.97,0.72,0.88,0.51,0.79,0.57,0.6,1.01,0.93,0.69,0.82,0.64
galaxium.csv,0.45,0.89,1.35,0.59,0.83,0.33,0.8,0.67,0.61,0.45,0.43,0.3,0.6,0.56,0.52,0.79,0.72,0.78,0.57
growl-for-windows.csv,1.0,1.0,1.0,0.8,1.0,1.0,0.97,0.89,0.92,0.57,1.0,0.59,0.73,1.0,1.0,0.54,0.31,0.79,0.78
k3d.csv,0.8,0.78,0.02,0.78,0.25,1.0,0.8,0.66,1.01,0.71,1.0,0.58,0.65,0.91,0.88,0.86,0.97,0.82,0.55
libarchive.csv,0.85,0.76,0.8,0.89,0.84,0.74,0.72,0.71,0.55,0.55,0.55,0.94,0.68,0.84,0.02,0.83,0.84,0.68,0.45
linux-ntfs.csv,0.48,0.63,0.75,0.63,0.7,0.67,0.77,0.8,0.72,0.91,0.56,0.62,0.45,0.65,1.02,0.57,0.96,0.75,0.51
m-a-d-n-e-s-s.csv,0.45,0.68,1.08,0.62,0.81,0.2,0.67,1.0,0.9,0.38,0.5,0.72,0.71,0.76,0.81,0.57,0.9,0.86,0.41
novembre.csv,0.45,0.58,1.07,0.4,0.84,0.52,0.81,1.0,0.83,0.88,0.54,0.86,0.86,0.89,0.84,0.69,0.84,0.76,0.85
qtwin.csv,0.94,0.91,1.0,0.87,0.77,0.09,1.0,0.93,0.9,0.88,0.86,0.97,0.68,0.65,0.88,0.65,0.95,0.99,1.0
st-filteredstatistics.csv,0.64,0.96,0.97,0.95,0.85,0.56,0.63,0.95,0.31,0.83,0.78,0.68,0.49,0.95,1.02,0.73,0.84,0.85,0.47
tweetsharp.csv,0.89,0.86,1.06,0.7,0.61,0.84,0.84,0.82,0.8,0.61,0.88,0.63,0.66,0.62,1.04,0.84,0.56,0.34,0.83
unladen-swallow.csv,0.59,0.81,1.01,0.75,0.68,0.55,0.84,0.77,0.73,0.68,0.7,0.54,0.9,0.66,0.84,0.92,0.82,0.85,0.54
wishmaster.csv,0.72,0.76,0.18,0.75,0.89,0.39,0.89,0.31,0.96,0.58,0.47,0.7,0.86,0.72,0.53,0.85,0.69,0.96,0.74
