,rezilla.csv,webdriver.csv,minig.csv,jparsec.csv,kmess.csv
jparsec.csv,0.6,0.46,0.35,0.28,0.84
kmess.csv,0.1,0.15,0.04,0.23,0.42
minig.csv,0.98,0.54,0.3,0.01,0.91
rezilla.csv,0.18,0.33,0.14,0.01,0.73
webdriver.csv,0.2,0.22,0.61,0.45,0.42
