,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.67,0.58,0.06,0.47,0.52,0.81,0.93,0.55,0.73,0.46
jmule.csv,0.73,0.63,0.19,0.84,0.84,0.74,0.6,0.82,0.98,0.88
nosleepsoftware.csv,0.23,0.08,0.62,0.0,0.05,0.08,0.0,0.22,0.03,0.54
open-ms.csv,0.73,0.69,0.69,0.16,0.14,0.57,0.48,0.57,0.54,0.67
qgo.csv,0.87,0.85,0.75,0.32,0.75,0.58,0.79,0.96,0.93,1.0
rezilla.csv,0.63,0.83,1.0,0.79,0.17,0.37,0.81,0.75,0.57,0.08
riff-evolve.csv,0.57,0.42,0.0,0.21,0.6,0.67,0.83,0.52,0.69,0.0
uwom.csv,0.63,0.37,0.0,0.74,0.75,0.33,0.05,0.71,0.86,0.54
virtuoso.csv,0.97,0.98,1.0,1.0,0.97,0.98,0.5,0.98,0.92,0.96
yield.csv,0.87,0.69,0.69,0.21,0.71,0.96,0.88,0.79,0.84,1.0
