,fritzing.csv,arianne.csv,xuggle.csv,emeraldemu.csv,yield.csv,rsyslog.csv,planeshift.csv,grafx2.csv,wow-qrsk.csv,bacnet.csv,gnupdate.csv,alsa.csv,ardour.csv,multitude.csv,salasaga.csv,keyczar.csv,xmoto.csv,cortex-vfx.csv,gstreamer.csv,linux-ntfs.csv
alsa.csv,0.0,1.0,29.0,0.0,0.0,2.0,0.0,0.0,6.0,7.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,5.0,1.0,0.0
ardour.csv,0.0,0.0,13.0,0.0,0.0,4.0,0.0,2.0,8.0,3.0,2.0,0.0,0.0,2.0,58.0,1.0,2.0,7.0,5.0,0.0
arianne.csv,2.0,0.0,6.0,5.0,2.0,5.0,2.0,1.0,12.0,2.0,1.0,0.0,1.0,5.0,69.0,0.0,2.0,45.0,2.0,3.0
bacnet.csv,0.0,4.0,17.0,0.0,2.0,0.0,0.0,1.0,24.0,0.0,0.0,1.0,3.0,0.0,9.0,1.0,1.0,2.0,1.0,0.0
cortex-vfx.csv,0.0,0.0,15.0,8.0,0.0,4.0,2.0,2.0,47.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0
emeraldemu.csv,1.0,0.0,20.0,0.0,8.0,7.0,1.0,0.0,47.0,5.0,4.0,1.0,0.0,2.0,61.0,1.0,4.0,2.0,2.0,0.0
fritzing.csv,0.0,3.0,13.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,61.0,0.0,1.0,24.0,3.0,0.0
gnupdate.csv,0.0,5.0,15.0,2.0,2.0,1.0,0.0,1.0,10.0,6.0,0.0,0.0,1.0,3.0,6.0,1.0,0.0,12.0,0.0,0.0
grafx2.csv,0.0,6.0,52.0,4.0,3.0,3.0,1.0,0.0,105.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,12.0,1.0,0.0
gstreamer.csv,1.0,5.0,32.0,0.0,4.0,3.0,0.0,0.0,15.0,3.0,3.0,0.0,4.0,1.0,3.0,2.0,2.0,3.0,0.0,0.0
keyczar.csv,5.0,0.0,15.0,1.0,0.0,1.0,1.0,2.0,5.0,0.0,2.0,0.0,2.0,2.0,29.0,0.0,0.0,15.0,5.0,0.0
linux-ntfs.csv,1.0,2.0,7.0,2.0,2.0,3.0,2.0,7.0,12.0,2.0,2.0,4.0,1.0,1.0,26.0,0.0,2.0,8.0,3.0,0.0
multitude.csv,1.0,0.0,29.0,7.0,0.0,1.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,1.0
planeshift.csv,0.0,0.0,43.0,1.0,1.0,6.0,0.0,2.0,29.0,0.0,0.0,0.0,8.0,0.0,7.0,3.0,0.0,31.0,2.0,0.0
rsyslog.csv,0.0,4.0,16.0,0.0,0.0,0.0,5.0,4.0,22.0,8.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,7.0,3.0,1.0
salasaga.csv,1.0,0.0,112.0,7.0,8.0,3.0,3.0,2.0,69.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,4.0,0.0
wow-qrsk.csv,0.0,0.0,6.0,1.0,10.0,11.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,61.0,0.0,0.0,20.0,2.0,0.0
xmoto.csv,1.0,0.0,72.0,1.0,0.0,4.0,0.0,2.0,50.0,4.0,2.0,0.0,5.0,0.0,25.0,0.0,0.0,9.0,0.0,2.0
xuggle.csv,1.0,0.0,1.0,5.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
yield.csv,1.0,0.0,34.0,6.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,61.0,0.0,1.0,26.0,5.0,2.0
