,toped.csv,irrlicht.csv,qse.csv,truevision.csv,qedo.csv,genoviz.csv
genoviz.csv,1.0,1.0,1.0,1.0,1.0,0.0
irrlicht.csv,1.0,0.0,0.77,0.84,0.84,0.45
qedo.csv,1.05,0.97,0.99,0.98,0.05,1.0
qse.csv,0.5,0.64,0.02,0.5,1.12,0.62
toped.csv,0.0,0.98,0.98,0.68,0.77,0.75
truevision.csv,0.81,0.58,0.48,0.05,0.81,0.93
