,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.11,0.13,0.48,0.3,0.59,0.23,0.75,0.36,0.46,0.46,0.11,0.64,0.41,0.8,0.25
bscwweasel.csv,0.04,0.09,0.41,0.41,0.54,0.25,0.61,0.43,0.36,0.47,0.09,0.3,0.34,0.78,0.26
capcode.csv,0.04,0.19,0.38,0.24,0.45,0.49,0.51,0.33,0.46,0.52,0.13,0.4,0.36,0.64,0.17
cme.csv,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.04,0.08,0.0,0.5,0.0,0.0,0.0,0.91
emite.csv,0.58,0.12,0.21,0.07,0.21,0.0,0.16,0.1,0.07,0.15,0.0,0.58,0.0,0.21,0.0
fluent-nhibernate.csv,0.15,0.19,0.44,0.36,0.63,0.26,0.68,0.26,0.44,0.49,0.15,0.49,0.47,0.45,0.0
lamp.csv,0.39,0.32,0.41,0.23,0.49,0.23,0.85,0.46,0.45,0.55,0.09,0.26,0.34,0.72,0.22
mecat.csv,0.0,0.12,0.13,0.0,0.08,0.21,0.0,0.17,0.0,0.38,0.46,0.0,0.27,0.0,0.36
nodal.csv,0.02,0.17,0.39,0.28,0.13,0.31,0.02,0.35,0.61,0.54,0.07,0.25,0.33,0.7,0.06
pydev.csv,0.62,0.29,0.43,0.27,0.58,0.25,0.47,0.37,0.36,0.67,0.14,0.27,0.22,0.73,0.24
retromenu.csv,0.11,0.15,0.37,0.27,0.64,0.17,0.74,0.21,0.33,0.41,0.06,0.4,0.29,0.41,0.0
smbopensoft.csv,0.8,0.18,0.33,0.18,0.25,0.12,0.75,0.22,0.33,0.3,0.0,0.62,0.19,0.67,0.22
stuproa-cims.csv,0.0,0.25,0.41,0.3,0.52,0.19,0.04,0.58,0.28,0.45,0.11,0.35,0.39,0.78,0.09
thout.csv,0.44,0.12,0.5,0.33,0.44,0.26,0.85,0.28,0.43,0.41,0.04,0.54,0.26,0.53,0.27
uface.csv,0.66,0.18,0.37,0.31,0.56,0.26,0.72,0.4,0.34,0.46,0.12,0.56,0.19,0.96,0.17
