,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.62,0.15,0.29,0.0,0.46,0.16,0.29,0.35,0.18,0.56,1.0,0.21,0.64
avifile.csv,0.03,1.0,0.15,0.0,0.19,0.41,0.0,0.1,0.08,0.17,0.0,0.15,0.0
baadengine.csv,0.99,0.1,0.89,0.03,0.74,0.45,0.47,0.42,0.32,0.58,0.47,0.2,0.9
gdis.csv,0.85,0.17,0.97,0.02,0.75,0.39,0.57,0.38,0.31,0.58,0.44,0.2,1.0
gogoego.csv,0.46,0.0,0.16,0.0,0.32,0.29,0.54,0.93,0.25,0.38,0.39,0.1,0.87
impala.csv,0.59,0.0,0.08,0.0,0.23,0.43,0.16,0.13,0.19,0.12,0.42,0.94,0.62
jgameai.csv,0.7,0.18,0.66,0.0,0.43,0.98,0.47,0.33,0.15,0.47,0.28,0.12,0.61
jhotdraw.csv,0.37,0.0,0.14,0.0,0.32,0.27,0.12,0.28,0.98,0.1,0.29,0.22,0.32
patterntesting.csv,0.59,0.0,0.52,0.06,0.57,0.25,0.46,0.32,0.37,0.93,0.43,0.18,0.63
pokeglobal.csv,0.66,0.0,0.84,0.04,0.98,0.33,0.56,0.43,0.3,0.5,0.46,0.2,0.91
werx.csv,0.85,0.14,1.0,0.02,0.73,0.45,0.47,0.39,0.31,0.53,0.46,0.22,0.9
zealos.csv,0.63,0.18,0.77,0.04,0.61,0.35,0.97,0.35,0.32,0.58,0.41,0.21,0.74
