,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.61,0.67,0.87,1.08,0.86,0.91,0.91,0.66,0.82,0.52,0.0,0.7,0.95
avifile.csv,1.0,0.0,0.92,1.03,0.9,0.63,1.0,0.94,0.95,0.92,1.0,0.88,1.0
baadengine.csv,0.04,0.89,1.02,0.7,0.7,0.61,0.99,0.78,0.96,0.94,0.95,0.82,1.0
gdis.csv,0.76,0.6,0.75,0.88,0.73,0.78,0.55,0.88,0.94,0.81,0.82,0.99,0.0
gogoego.csv,0.83,1.03,0.91,1.02,0.81,0.79,0.68,0.1,0.76,0.71,0.65,0.9,0.93
impala.csv,0.64,1.0,0.96,1.02,0.96,0.71,0.9,0.92,0.86,0.93,0.67,0.08,0.9
jgameai.csv,0.74,0.57,1.12,1.14,0.8,0.04,1.0,0.75,0.87,0.88,0.82,0.89,0.65
jhotdraw.csv,0.79,1.0,0.92,1.01,0.86,0.8,0.98,0.75,0.03,0.95,0.77,0.77,0.96
patterntesting.csv,0.63,1.16,1.19,0.34,0.64,0.81,0.58,0.71,0.56,0.1,0.62,0.75,0.59
pokeglobal.csv,0.68,1.09,0.8,0.52,0.05,0.77,0.54,0.63,0.79,0.6,0.75,0.75,0.62
werx.csv,0.98,0.98,0.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.97,1.0
zealos.csv,0.81,0.57,0.84,0.54,0.72,0.77,0.07,0.71,0.77,0.58,0.82,0.72,1.04
