,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.51,0.4,0.17,0.0,0.44,0.15,0.43,0.47,0.27,0.53,1.0,0.36,0.56
avifile.csv,0.02,1.0,0.08,0.0,0.12,0.46,0.0,0.07,0.05,0.13,0.0,0.12,0.0
baadengine.csv,0.99,0.6,0.82,1.0,0.88,0.65,1.0,0.88,1.0,1.0,1.0,0.76,1.0
gdis.csv,0.93,0.8,0.95,1.0,0.9,0.65,0.87,0.86,0.94,0.93,0.83,0.92,1.0
gogoego.csv,0.35,0.0,0.09,0.0,0.2,0.23,0.93,0.9,0.27,0.33,0.43,0.12,0.93
impala.csv,0.46,0.0,0.04,0.0,0.17,0.69,0.1,0.08,0.15,0.07,0.61,0.92,0.53
jgameai.csv,0.65,0.6,0.5,0.0,0.37,0.96,1.0,0.57,0.18,0.7,0.35,0.12,0.47
jhotdraw.csv,0.25,0.0,0.08,0.0,0.24,0.23,0.13,0.3,0.97,0.07,0.26,0.24,0.21
patterntesting.csv,0.46,0.0,0.36,1.0,0.51,0.27,0.53,0.43,0.52,0.9,0.57,0.32,0.49
pokeglobal.csv,0.57,0.0,0.73,1.0,0.95,0.46,0.83,0.75,0.79,0.43,0.83,0.68,0.95
werx.csv,0.98,1.0,1.0,1.0,0.98,1.0,1.0,0.99,1.0,0.93,1.0,1.0,1.0
zealos.csv,0.56,0.8,0.63,1.0,0.63,0.54,0.93,0.57,0.82,0.73,0.74,0.68,0.72
