,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,archive-crawler.csv,impala.csv,gdis.csv
archive-crawler.csv,0.59,0.81,0.97,0.62,0.57,0.68,0.74,0.69,0.66,0.63,0.74,0.75,0.49
avifile.csv,0.97,0.8,0.94,0.96,0.91,0.97,0.0,0.97,0.92,0.94,0.0,0.93,0.0
baadengine.csv,0.44,0.38,0.34,0.42,0.39,0.45,0.55,0.38,0.35,0.46,0.33,0.36,0.36
gdis.csv,0.41,0.54,0.36,0.46,0.36,0.49,0.5,0.37,0.37,0.39,0.4,0.33,0.35
gogoego.csv,0.64,0.8,0.94,0.72,0.89,0.81,0.51,0.81,0.8,0.55,0.54,0.94,0.38
impala.csv,0.71,0.75,0.88,0.95,0.95,0.66,0.88,0.96,0.97,0.75,0.55,0.96,0.6
jgameai.csv,0.53,0.69,0.56,0.69,0.79,0.84,0.54,0.58,0.93,0.57,0.69,0.96,0.41
jhotdraw.csv,0.91,0.67,0.93,0.92,0.82,0.95,0.97,0.82,0.98,0.91,0.89,0.97,0.95
patterntesting.csv,0.54,0.47,0.48,0.57,0.48,0.55,0.62,0.56,0.61,0.61,0.49,0.67,0.5
pokeglobal.csv,0.67,0.61,0.38,0.5,0.46,0.4,0.48,0.39,0.36,0.59,0.37,0.39,0.31
werx.csv,0.42,0.36,0.36,0.42,0.41,0.48,0.54,0.36,0.36,0.45,0.36,0.33,0.36
zealos.csv,0.5,0.54,0.5,0.5,0.48,0.57,0.68,0.53,0.41,0.54,0.42,0.41,0.41
