,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.03,0.81,0.41,0.92,0.3,0.51,0.68,0.84,0.48,0.37,0.08,0.9,0.08,0.62,0.32,0.69,0.35
encog-cs.csv,0.03,0.8,0.37,0.8,0.39,0.45,0.84,0.91,0.62,0.25,0.05,0.82,0.1,0.77,0.44,0.67,0.52
extprosys.csv,0.03,0.85,0.57,0.9,0.4,0.41,0.49,0.79,0.47,0.28,0.09,0.63,0.04,0.76,0.44,0.62,0.41
ibatisdb.csv,0.0,0.41,0.29,0.48,0.3,0.38,0.4,0.47,0.47,0.31,0.09,0.33,0.09,0.18,0.69,0.47,0.5
intact.csv,0.0,0.76,0.33,0.74,0.43,0.55,0.36,0.45,0.49,0.33,0.08,0.55,0.15,0.78,0.22,0.56,0.3
japano.csv,0.0,0.92,0.47,0.88,0.43,0.43,0.85,0.87,0.51,0.28,0.05,0.81,0.09,0.75,0.37,0.6,0.56
lockss.csv,0.08,0.52,0.34,0.16,0.38,0.05,0.43,0.56,0.2,0.39,0.13,0.12,0.16,0.48,0.35,0.6,0.28
ofbiz.csv,0.0,0.89,0.44,0.76,0.41,0.43,0.81,0.62,0.52,0.16,0.06,0.82,0.2,0.78,0.46,0.56,0.49
officefloor.csv,0.04,0.31,0.29,0.61,0.29,0.45,0.05,0.57,0.45,0.21,0.12,0.74,0.0,0.36,0.4,0.44,0.41
opennms.csv,0.04,0.46,0.11,0.18,0.56,0.15,0.66,0.08,0.21,0.37,0.04,0.16,0.14,0.55,0.08,0.21,0.0
papertoolkit.csv,0.0,0.31,0.22,0.44,0.21,0.3,0.29,0.31,0.4,0.21,0.04,0.37,0.35,0.43,0.15,0.51,0.25
rohxel.csv,0.05,0.45,0.42,0.22,0.26,0.36,0.75,0.41,0.26,0.13,0.03,0.42,0.0,0.07,0.11,0.11,0.1
sevenupdate.csv,0.02,0.83,0.44,0.94,0.35,0.45,0.88,0.97,0.52,0.21,0.05,0.96,0.1,0.76,0.41,0.69,0.55
web-cat.csv,0.02,0.61,0.44,0.89,0.4,0.44,0.83,0.81,0.52,0.32,0.06,0.96,0.11,0.77,0.45,0.67,0.72
xcf.csv,0.0,0.56,0.41,0.85,0.39,0.43,0.76,0.7,0.53,0.29,0.07,0.78,0.15,0.62,0.48,0.76,0.58
