,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.64,0.68,0.63,0.79,0.54,0.38,0.43,0.71,0.88,0.56,0.71,0.44,0.58,0.67
customwars.csv,0.68,0.64,0.59,0.71,0.77,0.19,0.42,0.54,0.47,0.36,0.86,0.8,0.64,0.67
firebreath.csv,0.59,0.54,0.52,0.36,0.92,0.12,0.65,0.81,0.94,0.76,0.57,0.39,0.64,0.7
gss.csv,0.88,0.9,1.0,0.86,1.0,0.88,0.58,0.75,0.88,0.96,0.86,0.98,0.81,0.77
irplus.csv,0.56,0.68,0.63,0.71,0.54,0.38,0.43,0.44,0.88,0.64,0.71,0.76,0.58,0.43
kwave.csv,0.83,0.85,0.89,0.79,1.0,0.5,0.53,1.0,0.82,0.84,0.71,0.88,0.75,0.77
liferea.csv,0.75,0.59,0.63,0.71,0.69,0.38,0.43,0.85,0.35,0.52,0.71,0.66,0.5,0.5
plearn.csv,0.69,0.44,0.15,0.36,0.15,0.0,0.27,0.67,0.41,0.44,0.71,0.63,0.36,0.5
psrchive.csv,0.58,0.51,0.3,0.86,0.69,0.19,0.5,0.5,0.53,0.36,0.86,0.44,0.33,0.27
qcad2.csv,0.37,0.67,0.41,0.64,0.85,0.5,0.57,0.88,0.94,0.84,0.43,0.88,0.64,0.93
tzod.csv,0.53,0.05,0.63,0.64,0.62,0.25,0.38,0.19,0.12,0.24,0.71,0.29,0.36,0.23
wxcode.csv,0.32,0.22,0.26,0.36,0.31,0.06,0.2,0.5,0.29,0.2,1.0,0.54,0.39,0.23
xinity.csv,0.64,0.37,0.56,0.14,1.0,0.56,0.62,0.71,0.41,0.24,0.57,0.8,0.58,0.9
xmoto.csv,0.59,0.32,0.52,0.5,0.92,0.06,0.67,0.62,0.47,0.24,0.71,0.49,0.72,0.13
