,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,unbvision.csv,projectfactory.csv,ondex.csv,tigermud.csv,ninject.csv,hydrate.csv,cme.csv
algebsql.csv,0.45,0.66,0.5,0.62,0.43,0.76,0.86,0.23,0.31,0.17,0.28,0.11,0.0,0.65,0.21
cme.csv,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.23,0.22,0.15,0.91
hydrate.csv,0.11,0.31,0.52,0.0,0.39,0.0,0.2,0.4,0.06,0.2,0.24,0.27,0.33,0.73,0.18
ivef-sdk.csv,0.68,0.4,0.55,0.42,0.35,1.0,0.39,0.0,0.42,0.61,0.24,0.41,0.08,0.0,0.21
jmri.csv,0.54,0.38,0.62,0.23,0.14,0.72,0.46,0.45,0.51,0.39,0.28,0.24,0.22,0.36,0.17
jython.csv,0.79,0.71,0.38,0.77,0.35,0.85,0.66,0.61,0.46,0.32,0.33,0.52,0.16,0.62,0.17
kdenlive.csv,0.73,0.67,0.54,0.49,0.53,0.64,0.4,0.22,0.45,0.55,0.3,0.54,0.21,0.78,0.22
ninject.csv,0.27,0.41,0.55,0.3,0.29,0.58,0.49,0.15,0.14,0.05,0.09,0.65,0.56,0.55,0.08
ondex.csv,0.54,0.46,0.56,0.54,0.12,0.0,0.3,0.19,0.39,0.31,0.35,0.15,0.14,0.46,0.15
opentibia.csv,0.45,0.86,0.46,0.5,0.42,0.08,0.68,0.35,0.25,0.09,0.2,0.71,0.27,0.71,0.0
projectfactory.csv,0.15,0.18,0.5,0.12,0.49,0.11,0.52,0.61,0.42,0.6,0.31,0.52,0.35,0.67,0.22
taverna.csv,0.4,0.37,0.13,0.24,0.64,0.18,0.66,0.08,0.3,0.39,0.23,0.52,0.0,0.06,0.22
tigermud.csv,0.43,0.62,0.55,0.58,0.44,0.0,0.0,0.26,0.06,0.16,0.19,0.75,0.36,0.77,0.0
unbvision.csv,0.7,0.55,0.45,0.32,0.2,0.19,0.33,0.21,0.56,0.38,0.34,0.33,0.16,0.61,0.18
x-ray-mule.csv,0.34,0.35,0.4,0.85,0.51,0.0,0.17,0.23,0.38,0.59,0.25,0.56,0.08,0.11,0.14
