,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv
blogentis.csv,0.34,0.51,0.71,0.46,0.75,0.66,0.47,0.63,0.54,0.47,0.52,0.5
emulemorph.csv,0.94,0.0,0.88,0.98,0.89,0.86,0.91,0.0,0.8,0.88,0.5,0.92
jaxen.csv,0.5,0.0,0.94,0.95,0.91,0.0,0.65,0.8,0.75,0.86,0.8,0.75
jvcl.csv,0.0,0.0,0.93,0.88,0.92,0.0,0.86,0.93,0.0,0.67,0.0,0.0
m-m-m.csv,0.62,0.52,0.31,0.48,0.38,0.63,0.45,0.41,0.42,0.37,0.38,0.28
motu.csv,0.42,0.57,0.48,0.9,0.52,0.67,0.67,0.74,0.65,0.83,0.9,0.69
nh3d.csv,0.0,0.75,0.93,0.94,0.79,0.67,0.65,0.95,0.94,0.6,0.95,0.82
sarasvati.csv,0.8,0.75,0.51,0.91,0.0,0.67,0.67,0.79,0.0,0.89,0.75,0.67
wgs-assembler.csv,0.68,0.98,0.9,0.93,0.63,0.67,0.83,0.58,0.57,0.67,0.97,0.71
zabbix.csv,0.33,0.47,0.31,0.47,0.41,0.57,0.48,0.43,0.42,0.38,0.67,0.31
