,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv
atomsite.csv,0.33,0.31,0.44,0.44,0.33,0.52,0.55,0.42,0.54,0.71,0.44,0.4,0.41,0.65,0.39,0.35
betoffice.csv,0.59,0.51,0.95,0.44,0.49,0.38,0.45,0.57,0.66,0.56,0.54,0.38,0.45,0.38,0.38,0.64
bionote.csv,0.5,0.34,0.7,0.89,0.92,0.8,0.89,0.51,0.95,0.48,0.88,0.4,0.59,0.42,0.58,0.46
bnetd.csv,0.35,0.39,0.52,0.45,0.71,0.56,0.61,0.39,0.48,0.4,0.45,0.33,0.42,0.42,0.35,0.47
emisview.csv,0.69,0.0,0.55,0.77,0.57,0.48,0.89,0.88,0.65,0.0,0.57,0.54,0.72,0.58,0.85,0.9
findbugs.csv,0.39,0.33,0.53,0.59,0.47,0.62,0.42,0.52,0.46,0.62,0.41,0.96,0.54,0.65,0.68,0.49
hazelcast.csv,0.3,0.31,0.48,0.33,0.33,0.27,0.36,0.37,0.34,0.39,0.44,0.3,0.37,0.3,0.29,0.32
jitterbit.csv,0.35,0.35,0.69,0.54,0.41,0.43,0.65,0.92,0.64,0.82,0.44,0.56,0.39,0.38,0.44,0.63
jppf-project.csv,0.44,0.78,0.66,0.83,0.43,0.4,0.49,0.43,0.45,0.8,0.7,0.41,0.53,0.49,0.39,0.47
kolmafia.csv,0.33,0.36,0.53,0.36,0.36,0.28,0.47,0.39,0.41,0.36,0.39,0.3,0.36,0.38,0.32,0.46
megasquirtavr.csv,0.34,0.39,0.63,0.46,0.41,0.3,0.43,0.49,0.62,0.53,0.42,0.36,0.38,0.45,0.33,0.48
qedo.csv,0.88,0.74,0.97,0.62,0.88,0.88,0.68,0.8,0.63,0.59,0.9,0.71,0.7,0.67,0.94,0.75
trackit.csv,0.89,0.96,0.97,0.87,0.8,0.91,0.53,0.83,0.77,0.83,0.89,0.94,0.5,0.9,0.92,0.99
wxlua.csv,0.81,0.44,0.62,0.44,0.94,0.94,0.69,0.8,0.69,0.53,0.4,0.61,0.55,0.56,0.94,0.56
x4x.csv,0.45,0.41,0.56,0.4,0.48,0.4,0.46,0.46,0.43,0.55,0.42,0.42,0.5,0.41,0.4,0.47
xharbour.csv,0.34,0.37,0.55,0.45,0.41,0.35,0.45,0.47,0.45,0.57,0.42,0.51,0.51,0.35,0.34,0.51
