,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,quark.csv,pnotepad.csv
bacnet.csv,0.75,0.12,0.8,0.32,0.86,0.43,0.58,0.6,1.0,0.42
gamestone.csv,0.09,0.88,0.12,0.39,0.29,0.0,0.0,0.16,0.0,0.08
gbif-providertoolkit.csv,0.77,0.0,0.32,0.19,0.71,0.04,0.89,0.68,0.46,0.58
heekscad.csv,0.77,0.38,0.61,0.48,0.71,0.49,0.66,0.6,1.0,0.65
igarden.csv,0.61,0.25,0.46,0.65,0.5,0.57,0.5,0.32,0.85,0.52
levent.csv,0.64,0.12,0.05,0.0,0.86,0.71,0.58,0.04,0.0,0.17
owlapi.csv,0.53,0.0,0.41,0.16,0.86,0.67,1.0,0.8,0.54,0.69
pnotepad.csv,0.58,0.88,0.88,1.0,0.86,0.63,0.61,0.72,1.0,0.81
quark.csv,0.42,0.25,0.36,0.06,0.29,0.08,0.05,0.32,0.85,0.23
xcsoar.csv,0.66,0.38,0.7,0.61,0.71,0.41,0.53,0.52,1.0,0.35
