,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.52,0.48,0.56,0.0,0.37,0.8,0.18,0.6,0.64,0.61,0.76,0.19
archive-crawler.csv,0.17,0.33,0.44,0.12,0.49,0.6,0.7,0.21,0.55,0.61,0.62,0.5
blue-c.csv,0.76,0.73,0.89,0.0,0.94,0.8,0.55,0.74,0.79,0.57,0.9,0.93
dynalloy.csv,0.76,0.81,0.56,0.06,0.71,0.47,0.54,0.64,0.74,0.78,0.86,0.52
jcae.csv,0.28,0.15,0.89,0.12,0.26,0.53,0.28,0.26,0.22,0.65,0.33,0.31
kmatplot.csv,0.93,0.37,0.89,1.0,0.11,0.97,0.5,0.64,0.35,0.65,0.57,1.0
mscore.csv,0.97,0.96,1.0,0.62,0.89,0.87,0.69,0.9,0.81,0.96,1.0,0.93
nosleepsoftware.csv,0.07,0.0,0.11,0.69,0.06,0.0,0.23,0.1,0.04,0.17,0.1,0.1
openmalaria.csv,0.79,0.5,1.0,0.69,0.54,0.73,0.81,0.74,0.69,0.7,0.81,0.71
popeye-chess.csv,0.55,0.38,0.78,0.44,0.66,0.63,0.66,0.52,0.58,0.74,0.86,0.57
riff-evolve.csv,0.69,0.44,0.89,0.0,0.66,0.37,0.38,0.33,0.66,0.48,0.57,0.83
virtuoso.csv,0.79,1.0,1.0,1.0,0.37,1.0,0.82,0.98,0.91,0.87,0.86,0.33
