,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.47,0.51,0.58,0.0,0.41,0.76,0.21,0.53,0.56,0.6,0.75,0.23
archive-crawler.csv,0.2,0.37,0.48,0.14,0.53,0.61,0.61,0.25,0.51,0.63,0.56,0.53
blue-c.csv,0.62,0.64,0.73,0.0,0.77,0.81,0.59,0.69,0.58,0.56,0.76,0.68
dynalloy.csv,0.48,0.79,0.49,0.07,0.45,0.52,0.5,0.44,0.65,0.61,0.7,0.45
jcae.csv,0.32,0.18,0.87,0.14,0.31,0.58,0.33,0.3,0.26,0.63,0.37,0.36
kmatplot.csv,0.88,0.4,0.67,0.0,0.13,0.17,0.52,0.58,0.39,0.6,0.54,0.05
mscore.csv,0.4,0.27,0.3,0.51,0.74,0.81,0.7,0.71,0.68,0.48,0.27,0.59
nosleepsoftware.csv,0.09,0.0,0.13,0.71,0.07,0.0,0.27,0.12,0.05,0.2,0.12,0.12
openmalaria.csv,0.7,0.47,0.21,0.56,0.59,0.73,0.73,0.75,0.64,0.6,0.26,0.59
popeye-chess.csv,0.57,0.42,0.64,0.46,0.68,0.65,0.66,0.56,0.59,0.7,0.7,0.57
riff-evolve.csv,0.68,0.49,0.61,0.0,0.68,0.42,0.43,0.38,0.68,0.5,0.56,0.7
virtuoso.csv,0.62,0.05,0.13,0.0,0.42,0.0,0.52,0.3,0.2,0.49,0.34,0.38
