,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,nebuladevice.csv
ikvm.csv,0.49,0.81,0.06,0.24,0.55,0.75,0.18
libtorrent.csv,0.83,0.44,0.11,0.35,0.85,0.81,0.41
mcmc-jags.csv,0.57,0.5,0.1,0.77,0.72,0.76,0.26
nebuladevice.csv,0.75,0.21,0.0,0.36,0.01,0.5,0.39
olap-navigator.csv,0.88,0.4,0.23,0.43,0.69,0.51,0.34
pidgin.csv,0.73,0.51,0.11,0.54,0.79,0.59,0.33
sepgsql.csv,0.67,0.43,0.2,0.33,0.72,0.46,0.12
