,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,aten.csv,papertoolkit.csv,ofbiz.csv,ibatisdb.csv,xcf.csv,web-cat.csv
cleartk.csv,0.02,0.89,0.32,0.99,0.3,0.27,0.88,0.92,0.44,0.19,0.04,0.99,0.06,0.69,0.31,0.54,0.2
encog-cs.csv,0.01,0.89,0.29,0.84,0.3,0.3,0.79,0.94,1.0,0.17,0.04,1.0,0.02,0.63,0.32,0.54,0.42
extprosys.csv,0.01,0.9,0.98,0.86,0.28,0.3,0.77,0.94,0.35,0.2,0.02,0.99,0.05,0.66,0.28,0.46,0.38
ibatisdb.csv,0.0,0.71,0.16,1.0,0.24,0.45,0.8,0.92,0.38,0.2,0.04,0.96,0.0,0.63,1.0,0.56,0.75
intact.csv,0.0,0.88,0.1,1.0,0.3,1.0,0.82,0.98,0.49,0.17,0.03,0.97,0.0,0.69,0.17,0.49,0.71
japano.csv,0.01,0.87,0.29,0.85,0.25,0.25,0.79,1.0,0.43,0.19,0.03,0.99,0.04,0.68,0.26,0.53,0.35
lockss.csv,0.05,1.0,0.43,0.67,0.25,0.13,0.5,1.0,0.68,1.0,0.03,1.0,0.0,0.38,0.13,0.5,0.0
ofbiz.csv,0.0,0.87,0.5,0.88,0.33,0.31,0.0,0.97,0.54,0.24,0.06,1.0,0.0,1.0,0.31,0.67,0.38
officefloor.csv,0.0,0.93,0.29,0.88,0.23,0.3,0.76,0.94,0.36,0.14,1.0,1.0,0.06,0.63,0.25,0.51,0.4
opennms.csv,0.0,0.92,0.36,0.84,1.0,0.57,0.86,0.88,0.28,0.2,0.03,1.0,0.0,0.78,0.27,0.67,0.33
papertoolkit.csv,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
rohxel.csv,0.01,0.91,0.44,0.92,0.25,0.35,1.0,0.92,0.43,0.22,0.03,1.0,0.04,0.71,0.31,0.6,0.41
sevenupdate.csv,0.01,1.0,0.28,0.88,0.26,0.29,0.82,0.93,0.36,0.25,0.03,0.99,0.03,0.69,0.26,0.54,0.37
web-cat.csv,0.0,0.9,0.24,0.84,0.28,0.42,0.77,0.95,0.5,0.04,0.01,1.0,0.0,0.72,0.17,0.4,1.0
xcf.csv,0.0,0.84,0.29,0.83,0.29,0.36,0.86,0.95,0.48,0.25,0.05,1.0,0.06,0.71,0.48,1.0,0.39
