,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.23,0.41,0.2,0.02,0.33,0.19,0.6,0.13,0.99,0.33,0.48
emono.csv,0.43,0.52,0.7,0.05,0.38,0.12,0.56,0.16,0.54,0.4,0.99
haggle.csv,0.44,0.97,0.05,0.0,0.31,0.09,0.51,0.0,0.44,0.33,0.19
hannosset.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.07
jas.csv,0.0,0.0,0.09,0.09,0.0,0.0,0.06,1.0,0.0,0.0,0.07
jgossipforum.csv,0.0,0.03,0.1,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.1,0.1,0.0,1.0,0.12,0.22,0.0,0.0,0.0,0.05
mediate.csv,0.45,0.42,0.99,0.05,0.14,0.3,0.39,0.1,0.29,0.39,0.27
ngl.csv,0.43,0.67,0.57,0.07,0.3,0.12,1.0,0.23,0.69,0.48,0.48
pustefix.csv,0.98,0.18,0.45,0.04,0.0,0.0,0.11,0.1,0.0,0.06,0.24
synecdoche.csv,0.29,0.31,0.68,0.1,0.26,0.25,0.35,0.04,0.47,1.0,0.56
