,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.3,0.3,0.13,0.2,0.62,0.5,0.53,0.88,0.98,0.34,0.39
emono.csv,0.43,0.38,0.74,0.8,1.0,0.5,0.51,0.75,0.45,0.52,0.99
haggle.csv,0.48,0.96,0.03,0.0,0.5,0.33,0.42,0.0,0.42,0.28,0.11
hannosset.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04
jas.csv,0.0,0.0,0.05,0.2,0.0,0.0,0.03,1.0,0.0,0.0,0.04
jgossipforum.csv,0.0,0.01,0.05,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.05,0.05,0.0,1.0,0.17,0.13,0.0,0.0,0.0,0.02
mediate.csv,0.52,0.31,0.97,0.8,0.25,0.5,0.31,0.38,0.2,0.28,0.18
ngl.csv,0.57,0.61,0.59,0.8,0.75,0.33,1.0,0.75,0.82,0.55,0.4
pustefix.csv,0.96,0.11,0.38,0.6,0.0,0.0,0.06,0.25,0.0,0.03,0.15
synecdoche.csv,0.26,0.22,0.72,0.8,0.38,0.67,0.28,0.12,0.38,1.0,0.45
