,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.33,0.34,0.16,0.23,0.63,0.53,0.56,0.54,0.98,0.36,0.42
emono.csv,0.47,0.43,0.68,0.64,0.82,0.47,0.53,0.67,0.49,0.44,0.99
haggle.csv,0.52,0.96,0.04,0.0,0.53,0.35,0.46,0.0,0.43,0.32,0.13
hannosset.csv,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05
jas.csv,0.0,0.0,0.06,0.24,0.0,0.0,0.04,1.0,0.0,0.0,0.05
jgossipforum.csv,0.0,0.01,0.06,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.06,0.06,0.0,1.0,0.2,0.16,0.0,0.0,0.0,0.02
mediate.csv,0.55,0.35,0.98,0.61,0.28,0.54,0.35,0.41,0.23,0.32,0.21
ngl.csv,0.58,0.61,0.53,0.72,0.67,0.36,1.0,0.73,0.67,0.54,0.42
pustefix.csv,0.97,0.13,0.41,0.55,0.0,0.0,0.07,0.29,0.0,0.04,0.18
synecdoche.csv,0.3,0.26,0.66,0.78,0.42,0.67,0.32,0.14,0.42,1.0,0.48
