,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.82,1.0,0.94,0.93,0.7,0.98,0.32,0.9,0.48,0.86,0.91,0.69
dvt.csv,0.69,0.63,0.9,0.41,0.95,0.78,0.56,0.83,0.5,0.74,0.83,0.93
flylinkdc.csv,0.41,0.98,0.86,0.88,0.69,0.77,0.72,0.52,1.05,0.95,1.0,0.75
fulguro.csv,1.0,0.83,0.78,0.92,0.91,0.73,0.85,0.78,1.0,0.8,0.76,0.6
fw4spl.csv,0.69,0.69,0.81,0.78,0.83,0.47,0.84,0.6,1.06,0.83,0.81,0.76
ipfire-wall.csv,0.62,0.51,0.72,0.86,0.91,0.86,0.96,0.31,1.05,0.71,0.84,0.71
jruby.csv,0.63,1.0,1.0,0.88,1.0,0.81,1.0,1.0,0.7,0.56,0.63,1.0
ldview.csv,0.95,0.53,0.84,0.9,0.36,0.63,1.0,0.84,0.87,0.79,0.84,0.65
nuttx.csv,0.57,0.96,0.54,0.96,0.71,0.58,1.0,0.75,0.59,0.87,0.62,0.92
oorexx.csv,0.71,0.73,0.97,0.78,0.64,0.55,0.79,0.83,0.86,0.82,0.41,0.82
uclmda.csv,0.91,1.0,0.84,0.86,0.8,0.8,0.68,0.92,0.01,0.99,1.0,0.92
vdsf.csv,0.92,0.66,0.99,0.8,0.68,0.88,0.97,0.81,0.79,0.96,0.9,0.46
