,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.67,0.71,0.48,0.86,0.78,0.58,0.49,0.83,0.8,0.53,0.69,0.63,0.67,0.69
exordium.csv,0.61,0.9,0.61,0.81,0.27,0.64,0.39,0.37,0.47,0.48,0.76,0.61,0.66,0.56
google-caja.csv,0.75,0.7,0.57,0.68,0.49,0.8,0.45,0.28,0.89,0.52,0.7,0.63,0.68,0.66
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,0.93,0.23,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kmess.csv,0.87,0.8,0.6,0.78,0.69,0.6,0.53,0.85,0.86,0.89,0.92,0.65,0.52,0.7
kvs.csv,1.0,1.0,0.73,0.29,1.01,0.92,1.0,0.55,0.74,0.68,0.93,0.9,0.87,0.78
megameknet.csv,0.81,0.8,0.61,0.61,0.6,0.71,0.34,0.93,0.62,0.35,0.73,0.71,0.65,0.68
ns-3-dev-def-routing.csv,0.71,0.89,0.7,0.91,0.46,0.76,0.67,0.92,0.72,0.67,0.69,0.5,0.61,0.82
open-ms.csv,0.7,0.84,0.56,0.51,0.67,0.59,0.4,0.52,0.58,0.48,0.87,0.67,0.52,0.54
openmsx.csv,0.87,0.57,0.75,0.92,0.93,0.67,0.96,0.82,0.74,0.86,0.52,0.75,0.62,0.69
rezilla.csv,0.74,0.32,0.67,0.73,0.57,0.64,0.44,0.94,0.63,0.6,0.77,0.73,0.77,0.8
sauerbraten.csv,0.38,0.85,0.89,0.97,0.86,0.68,0.98,0.73,0.81,0.94,0.93,0.87,0.95,0.85
webdriver.csv,0.52,0.81,0.59,0.62,0.41,0.39,0.51,0.72,0.62,0.47,0.68,0.55,0.55,0.56
yafdotnet.csv,0.72,0.84,0.59,0.76,0.51,0.59,0.41,0.89,0.38,0.78,0.68,0.69,0.6,0.74
