,ifa
jchassis.csv,5.0
doomlegacy.csv,4.0
bzbyte.csv,0.0
fmri-dmt.csv,7.0
v8.csv,0.0
servicestack.csv,8.0
carabiner.csv,4.0
gephex.csv,0.0
mediaportal.csv,2.0
gnome-jabber.csv,0.0
fityk.csv,0.0
mecat.csv,10.0
ngl.csv,0.0
codepurge.csv,18.0
jcl.csv,7.0
bigdata.csv,0.0
salasaga.csv,13.0
ondex.csv,0.0
jas.csv,10.0
qdvdauthor.csv,3.0
gmerlin.csv,4.0
wsmt.csv,1.0
xqilla.csv,45.0
jstock.csv,4.0
poormans.csv,1.0
kolmafia.csv,0.0
synergyspace.csv,6.0
nebuladevice.csv,16.0
findbugs.csv,0.0
qmmp.csv,0.0
wxstudio.csv,0.0
free-evolution.csv,10.0
xapian.csv,3.0
quark.csv,8.0
les-indemodables.csv,0.0
mesa3d.csv,9.0
simplewebservices.csv,0.0
illumination.csv,5.0
wxjs.csv,18.0
ambulant.csv,2.0
kmess.csv,2.0
fleet-simulator.csv,0.0
tradelink.csv,1.0
opendvr.csv,2.0
pi-qmc.csv,8.0
google-gears.csv,0.0
bibletime.csv,1.0
ipfilter.csv,0.0
glelite.csv,0.0
hibernate.csv,1.0
keyczar.csv,1.0
oscarmcmaster.csv,2.0
passwordsafe.csv,0.0
primefaces.csv,0.0
xtreemfs.csv,2.0
pixel-commandos.csv,5.0
open-ms.csv,5.0
pnotepad.csv,0.0
qedo.csv,33.0
tigermud.csv,0.0
mevenide.csv,3.0
xcf.csv,4.0
ninject.csv,18.0
xinity.csv,0.0
xmoto.csv,1.0
coot.csv,0.0
emite.csv,0.0
gss.csv,1.0
icescrum.csv,4.0
